 	ibara	s'	est	enrichi	en	jouant	au	poker	</S>
i	0.451448	0.511847	0.0230123	0.00445158	0.00628526	0.000541033	0.00206242	0.000220567	0.000131149
b	0.996868	0.00270818	0.00011824	0.000155027	5.95086e-05	3.88281e-05	2.19401e-05	1.55404e-05	1.50364e-05
a	0.994001	0.00318883	0.000129647	0.00170416	0.000229884	0.000372641	0.000102738	0.000143622	0.000127266
r	0.982355	0.0147406	0.00101541	0.000868604	0.00025024	0.000251182	0.00011147	0.000125499	0.000282045
a	0.952808	0.0318713	0.00263921	0.00220466	0.0012232	0.000983048	0.00106525	0.00200102	0.00520398
á	0.130135	0.360963	0.40106	0.0552704	0.0295228	0.00428913	0.00855762	0.000582146	0.00961996
m	0.00295961	0.102558	0.329706	0.242786	0.207694	0.0275675	0.0388285	0.0250581	0.0228424
i	0.00106018	0.125991	0.3317	0.246674	0.25678	0.0212777	0.0079834	0.0010225	0.00751095
b	0.00139005	0.00448049	0.0228798	0.758369	0.166874	0.036962	0.00407213	0.000938568	0.00403397
v	0.00207096	0.00146989	0.00656813	0.783016	0.124004	0.0767465	0.00409618	0.000119589	0.00190874
ú	0.000324507	0.0014701	0.0127306	0.77166	0.156896	0.0529243	0.00354267	0.000128152	0.000323816
m	0.000710963	0.0219734	0.122246	0.320392	0.360858	0.107534	0.0387546	0.0130019	0.014529
á	0.000144168	0.0231338	0.0826262	0.173618	0.337992	0.214637	0.119686	0.0162156	0.031948
m	0.00024327	0.0134028	0.123315	0.0424573	0.252267	0.136425	0.253502	0.100861	0.0775262
ó	0.000863547	0.0180502	0.0150568	0.0353407	0.12991	0.375407	0.190424	0.0202972	0.214651
l	0.00911688	0.0172158	0.0190535	0.00865469	0.106482	0.213922	0.161423	0.394082	0.07005
e	0.00163043	0.00174259	0.0057525	0.0264584	0.0718187	0.157826	0.297248	0.278172	0.159351
b	0.000381269	0.000893118	0.00208826	0.00309117	0.0439197	0.0714081	0.176236	0.582237	0.119746
ε	6.06792e-05	0.000473513	0.000632313	0.00784522	0.01727	0.817186	0.0499873	0.0545037	0.0520413
s	0.000432103	0.000172936	0.00123418	0.0157889	0.0299587	0.334771	0.0940493	0.364051	0.159541
ε	0.00200496	0.000299484	0.000595226	0.0187153	0.0219029	0.686381	0.0405269	0.105941	0.123633
</S>	6.23509e-05	0.00097675	0.0047856	0.00184088	0.0138886	0.0126567	0.195747	0.182233	0.587809
