 	la	parole	de	dieu	est	éternelle	</S>
d	0.570868	0.308924	0.0733032	0.0216153	0.0137167	0.00818691	0.00338579
z	0.470173	0.297491	0.0356807	0.048422	0.0284651	0.0685377	0.0512307
ú	0.178152	0.751522	0.00814837	0.0399152	0.000933773	0.0175308	0.00379812
e	0.240473	0.357772	0.102342	0.0475234	0.0211904	0.0720289	0.15867
l	0.137963	0.132927	0.518754	0.0393677	0.0317823	0.00163313	0.137573
á	0.209096	0.177511	0.224818	0.0595595	0.079604	0.0146618	0.234751
n	0.271158	0.167207	0.24574	0.186908	0.0397217	0.0388884	0.0503765
z	0.0623336	0.258256	0.0938061	0.535677	0.00671035	0.0338202	0.00939726
a	0.0125287	0.115264	0.0736575	0.664138	0.00612931	0.122094	0.00618833
m	0.0264685	0.0593543	0.415221	0.231191	0.100317	0.104032	0.0634148
b	0.0546981	0.093891	0.217999	0.36458	0.0895698	0.117785	0.0614765
é	0.110829	0.0936747	0.138735	0.481105	0.0422655	0.0857395	0.0476524
l	0.0439809	0.0323762	0.205074	0.0958407	0.524382	0.0208504	0.0774957
í	0.0208901	0.0194473	0.110862	0.208398	0.229737	0.0421437	0.368521
i	0.017194	0.00881771	0.120603	0.110423	0.466976	0.148492	0.127495
b	0.0106541	0.00835242	0.0105918	0.109693	0.244771	0.21336	0.402578
í	0.00647059	0.014745	0.029433	0.169299	0.302646	0.161548	0.315858
á	0.00225868	0.00174109	0.00990692	0.067905	0.0643253	0.130926	0.722937
l	0.00595338	0.00652383	0.0222102	0.015753	0.4375	0.191216	0.320844
a	0.00894605	0.00871682	0.0119112	0.0313233	0.129965	0.30327	0.505867
b	0.00268277	0.00196639	0.0121314	0.0149822	0.0894834	0.627517	0.251237
a	0.00939874	0.017892	0.0558501	0.093652	0.168807	0.544123	0.110277
r	0.000989279	0.00130126	0.0140318	0.0210074	0.0959149	0.216872	0.649884
e	0.00619763	0.00435941	0.0156514	0.0513728	0.0845501	0.590022	0.247846
b	0.00250002	0.00218155	0.0212994	0.0107009	0.231119	0.0680927	0.664106
v	0.0193816	0.0111664	0.0560921	0.0254531	0.425747	0.0817422	0.380417
u	0.0117245	0.00588014	0.0122088	0.0306644	0.0315769	0.653531	0.254414
m	0.00996898	0.00376812	0.00228667	0.00620527	0.0461542	0.438648	0.492969
b	0.0358673	0.0342614	0.0292759	0.0171087	0.200301	0.304198	0.378987
ú	0.0115502	0.00752125	0.0270312	0.0258799	0.102997	0.528115	0.296905
</S>	0.0130827	0.00563457	0.0116325	0.00471342	0.113703	0.0373055	0.813929
