 	nous	sommes	sur	le	point	de	partir	</S>
b	0.67772	0.223631	0.0450901	0.035777	0.00686332	0.00961125	0.000177104	0.00113083
í	0.927785	0.0239697	0.0349336	0.00987292	0.00156146	0.00149906	4.43597e-05	0.000333664
s	0.979696	0.0141443	0.00525511	0.00073807	7.52914e-05	4.2175e-05	1.86755e-05	3.04835e-05
í	0.787547	0.0681016	0.0728092	0.0538999	0.00209131	0.00453243	0.00244586	0.00857271
l	0.0891762	0.258577	0.207377	0.0963751	0.047845	0.0300938	0.0195364	0.25102
e	0.00631094	0.0286978	0.0431589	0.0453503	0.0734369	0.0801512	0.0191403	0.703754
b	0.00550027	0.135411	0.570008	0.185611	0.0387373	0.0121121	0.00677114	0.0458491
h	0.00308024	0.302559	0.400458	0.225406	0.0118143	0.0249319	0.0163157	0.015435
i	0.00597119	0.430494	0.178768	0.256269	0.0170941	0.0264367	0.00531576	0.0796512
l	0.0129299	0.0623171	0.0822734	0.386432	0.109674	0.193319	0.0263364	0.126719
é	0.0036145	0.0187999	0.0547044	0.159558	0.452341	0.117112	0.0293249	0.164545
e	0.00384521	0.0286183	0.0780857	0.15397	0.166379	0.259866	0.167871	0.141363
d	0.000235381	0.0129492	0.0352646	0.0456204	0.0138346	0.0446473	0.787754	0.0596943
z	4.64453e-05	0.00964811	0.0127415	0.00409188	0.000875998	0.00544303	0.939546	0.0276068
w	0.000387394	0.0060666	0.0127053	0.0077721	0.00409792	0.00299439	0.95231	0.0136661
a	0.000554501	0.0120688	0.0310765	0.106935	0.022202	0.127998	0.395568	0.303597
</S>	0.000111922	0.00134586	0.00362304	0.00680641	0.000501744	0.0812777	0.23341	0.672924
