 	la	perdrix	kula	a	un	plumage	noir	</S>
k	0.416343	0.256988	0.237614	0.0544098	0.018404	0.0158197	0.00029611	0.000126024
ú	0.0758834	0.849569	0.0454505	0.0123869	0.00823192	0.0068351	0.00141741	0.000225367
l	0.0617477	0.558134	0.13095	0.0310807	0.0520279	0.113337	0.0285014	0.0242216
á	0.145078	0.26115	0.320915	0.0826508	0.0959693	0.0725333	0.00894967	0.0127545
a	0.114135	0.0849265	0.486226	0.171343	0.0720931	0.0529367	0.00282903	0.0155108
d	0.071058	0.114511	0.206511	0.301505	0.188578	0.103012	0.00823329	0.00659234
i	0.0206587	0.00952021	0.162338	0.266657	0.41182	0.0166787	0.00969633	0.102631
t	0.0414223	0.0171134	0.201927	0.190025	0.401621	0.0668571	0.023018	0.0580161
s	0.0224531	0.0576164	0.0675246	0.124379	0.213067	0.319459	0.149839	0.0456617
á	0.00414787	0.0133284	0.0330229	0.032489	0.115481	0.722656	0.0615135	0.0173612
l	0.0014354	0.00524149	0.0290914	0.0534907	0.132045	0.567675	0.0849311	0.126089
á	0.00381942	0.00387878	0.0277035	0.0467853	0.161372	0.559615	0.126417	0.0704083
p	0.00703755	0.00352903	0.0305782	0.0568836	0.113571	0.194313	0.454146	0.139941
i	0.00651176	0.00477259	0.0148932	0.028886	0.0777119	0.294572	0.516364	0.0562882
p	0.000659448	0.000860504	0.00423655	0.0168679	0.0562356	0.202367	0.5184	0.200372
i	0.00523473	0.00325914	0.0105361	0.0126006	0.0446961	0.193765	0.562349	0.167559
</S>	0.00146738	0.00120638	0.00770091	0.0161083	0.0430256	0.0479661	0.236621	0.645905
