 	les	foudres	s'	abattent	sur	le	village	</S>
m	0.822426	0.150728	0.0131332	0.0063856	0.00395695	0.00280641	0.000525973	3.82034e-05
y	0.0511534	0.900077	0.01778	0.0221159	0.00535575	0.00153577	3.61344e-06	0.00197881
a	0.00427327	0.994822	0.000283054	0.000206766	0.000317643	1.14775e-05	1.21903e-05	7.37534e-05
n	0.146983	0.833902	0.00627122	0.00217524	0.00336783	0.000222349	8.86543e-05	0.0069896
d	0.136379	0.809556	0.018445	0.00367721	0.00484535	0.00067406	0.00117669	0.0252474
z	0.0226504	0.948955	0.00943532	0.000659829	0.00187869	0.000153703	0.000226255	0.0160409
a	0.134123	0.84103	0.0147151	0.00152317	0.00168894	0.000537281	0.000242074	0.00614131
m	0.217987	0.0407444	0.647691	0.019185	0.0274166	0.0104005	0.00106094	0.0355147
í	0.301402	0.044489	0.443498	0.0394901	0.0587375	0.0741015	0.00230247	0.0359794
i	0.430844	0.075528	0.32133	0.109114	0.0311846	0.00501912	0.00215493	0.0248258
k	0.00946843	0.0186775	0.30096	0.414603	0.199766	0.0129713	0.00191051	0.0416433
ó	0.0340464	0.0822744	0.31432	0.100169	0.330487	0.015388	0.0262792	0.0970359
m	0.00886639	0.0454226	0.330153	0.230206	0.272452	0.0173029	0.0177382	0.0778586
í	0.037618	0.0508383	0.487645	0.142072	0.225424	0.0268053	0.000788793	0.0288083
n	0.00932434	0.00117429	0.163309	0.475976	0.223532	0.0834939	0.0121685	0.0310224
á	0.00488649	0.00475416	0.0499637	0.730483	0.164771	0.0283482	0.000119347	0.0166742
s	0.00197943	0.000289901	0.147995	0.218219	0.372249	0.157393	0.00631274	0.0955619
á	0.0124071	0.0051289	0.0818839	0.0961763	0.446178	0.0800561	0.0135764	0.264593
p	0.00719067	0.00159852	0.0106148	0.0267169	0.0267592	0.0746437	0.837951	0.0145255
o	0.000815771	0.00114874	0.00243949	0.00106639	0.00581976	0.0223854	0.95258	0.0137448
o	0.000278527	0.000187065	0.000806182	0.000672009	0.00503123	0.012745	0.961846	0.0184338
</S>	0.00263716	8.92414e-05	0.00930651	0.0046194	0.0466973	0.284095	0.0314468	0.621109
