 	notre	fétiche	pro	tecteur	est	gardé	au	bout	du	village	</S>
k	0.0844996	0.651466	0.102229	0.124693	0.0167929	0.00151594	0.00202504	0.000533071	0.0151818	0.000922704	0.000141232
í	0.0167553	0.37802	0.55056	0.0258362	0.00183476	0.000738383	0.00288687	0.00344264	0.0193806	0.000169084	0.000377069
n	0.0823387	0.26718	0.555173	0.0618532	0.0062112	0.00563857	0.00521238	0.00476971	0.00240558	0.001038	0.00817905
d	0.0011431	0.116347	0.861006	0.00987857	0.00198764	0.00020945	0.000943	0.000712623	0.000598469	5.78819e-05	0.00711643
á	0.00055849	0.0872919	0.795018	0.0541281	0.00805018	0.000555717	0.00219202	0.00301256	0.00184355	0.000144721	0.0472049
y	0.020915	0.518978	0.123313	0.255113	0.0441677	0.00198155	0.00498481	0.00186786	0.00130833	0.000369888	0.0270004
á	0.128755	0.253941	0.0994351	0.372925	0.0529904	0.00113936	0.00960691	0.00727091	0.0243604	0.00408344	0.0454929
b	0.803781	0.040316	0.0100643	0.0982895	0.0364451	0.00210891	0.00232924	0.00131304	0.00211522	0.000758954	0.00247863
í	0.951441	0.00504353	0.00228577	0.0139956	0.0177238	0.0082975	0.0008139	0.000180901	0.000104271	2.66824e-05	8.73892e-05
s	0.995439	0.00143681	0.000122391	0.00097351	0.000670879	0.00116215	9.4125e-05	1.45496e-05	1.86073e-05	7.75192e-06	6.05984e-05
í	0.726854	0.00681717	0.00487728	0.113746	0.0954711	0.00827126	0.00837989	0.00245706	0.00145416	4.98121e-05	0.0316218
é	0.00900027	0.0661216	0.0161425	0.611753	0.158914	0.055543	0.0346915	0.0183199	0.0129417	0.000589755	0.015982
d	0.000610695	0.0258155	0.00754321	0.0882206	0.484236	0.305247	0.0555435	0.0222103	0.00197907	0.000501976	0.00809181
i	0.000360045	0.000929712	0.000298152	0.084685	0.609479	0.171948	0.0292502	0.0721827	0.000894086	3.19873e-05	0.0299408
m	0.00161078	0.00463986	0.000865995	0.121362	0.431339	0.20234	0.0857467	0.131889	0.00865635	0.000448034	0.0111029
í	0.0108891	0.00175627	0.000858378	0.0518619	0.366002	0.216765	0.190374	0.0858085	0.014511	0.00112375	0.0600503
s	0.00766173	0.00388954	0.00289019	0.0220005	0.0559257	0.0645413	0.53288	0.1816	0.0780681	0.0142448	0.0362982
ú	0.00126561	0.000924546	0.00116252	0.0117826	0.0571461	0.102848	0.285796	0.492612	0.0233595	0.000949194	0.0221534
u	0.00472537	0.000849301	0.000329186	0.00634573	0.0147436	0.0185425	0.122909	0.740272	0.0517329	0.0124215	0.0271292
l	0.000168227	0.000499989	0.000460813	0.00197465	0.00389166	0.00292576	0.246608	0.371439	0.299837	0.0183761	0.0538187
á	0.00192058	0.0033754	0.00307612	0.00792559	0.0122552	0.00647664	0.303288	0.313444	0.140281	0.0148946	0.193063
p	0.00439838	0.00457696	0.00215916	0.00567184	0.00496119	0.00557482	0.196246	0.267033	0.289853	0.180584	0.0389415
o	0.000161804	0.00309903	0.00900436	0.00106009	0.000982768	0.00173732	0.088219	0.208356	0.0284062	0.640861	0.0181126
o	0.000158979	0.000704594	0.00179076	0.000523304	0.000756032	0.0020077	0.0469825	0.164161	0.0804464	0.635014	0.0674549
</S>	0.00063662	0.00233776	0.000539483	0.00220568	0.00197832	0.000670114	0.0526794	0.118359	0.284633	0.0249672	0.510994
