 	appuie-toi	sur	le	mur	de	la	case	</S>
y	0.115373	0.21696	0.336808	0.0893909	0.106612	0.12479	0.00342184	0.00664497
ε	0.821964	0.0238325	0.0921845	0.00338088	0.00623954	0.0283493	0.0122807	0.0117686
ε	0.786709	0.0559808	0.069484	0.00364597	0.0189435	0.0184835	0.0256831	0.02107
m	0.112061	0.258918	0.390427	0.0867806	0.0788784	0.0073391	0.00177957	0.0638164
έ	0.0531729	0.366709	0.424457	0.123814	0.0160807	0.00333577	0.00031203	0.0121189
m	0.00204127	0.0624133	0.308664	0.569704	0.0353578	0.00372622	0.000873317	0.0172207
ó	0.0046338	0.153499	0.301795	0.482154	0.0299266	0.00347763	0.000863752	0.0236509
ε	0.0053376	0.112431	0.220611	0.585788	0.0500662	0.00642985	0.00239156	0.0169451
b	0.0122534	0.0319903	0.232356	0.55032	0.142927	0.00947978	0.00320093	0.0174725
a	0.00138365	0.00594273	0.177335	0.654029	0.143815	0.0104756	0.00104036	0.00597868
á	0.000590602	0.0115885	0.057344	0.732281	0.139876	0.0136785	0.0090419	0.035599
y	0.00144445	0.0484019	0.0327797	0.178797	0.410561	0.159746	0.0373828	0.130887
á	0.0169451	0.243177	0.0720661	0.137126	0.17813	0.142124	0.0642014	0.14623
n	0.000967706	0.0211663	0.0389524	0.0303349	0.211076	0.323982	0.354206	0.0193139
d	0.00134012	0.00202312	0.00343912	0.00542978	0.0303027	0.0630651	0.886223	0.00817752
é	0.000796953	0.000478373	0.00127699	0.00115708	0.00986259	0.0190664	0.96603	0.00133139
e	0.00101312	0.0108256	0.0436366	0.0281207	0.267371	0.267847	0.205815	0.175371
</S>	0.00335275	0.021348	0.0201071	0.0339849	0.221915	0.192676	0.0470472	0.459569
