 	il	y	a	eu	le	brouillard	ce	matin	</S>
o	0.0965056	0.21209	0.228021	0.0951604	0.150419	0.0292438	0.179963	0.00356942	0.00502835
y	0.0411	0.0443048	0.0412296	0.116701	0.0924904	0.1574	0.0301996	0.378197	0.0983778
ó	0.00100561	0.0104622	0.00728824	0.0421031	0.0180043	0.427915	0.00290813	0.447176	0.0431371
l	0.000449029	0.00140019	0.00378313	0.0238519	0.0194606	0.378813	0.00300023	0.525917	0.0433243
o	0.059473	0.103299	0.0704048	0.113831	0.137831	0.281487	0.0300603	0.177815	0.0257974
m	0.0795238	0.161015	0.124394	0.0852339	0.16406	0.186975	0.0888371	0.0474144	0.0625467
á	0.179735	0.0470511	0.106663	0.104082	0.188298	0.0860883	0.165018	0.00134977	0.121716
p	0.122493	0.0444743	0.207907	0.105375	0.111545	0.0411943	0.311842	0.026464	0.0287052
á	0.0389715	0.0528685	0.15232	0.199397	0.116291	0.0585962	0.0978254	0.209646	0.0740844
b	0.0933926	0.0664233	0.174314	0.130735	0.092028	0.0719207	0.123661	0.0820653	0.165459
h	0.107854	0.0281091	0.0794626	0.0817503	0.137679	0.128431	0.152579	0.037429	0.246705
a	0.107048	0.111057	0.0872507	0.0938068	0.164086	0.291627	0.0506812	0.0216015	0.0728416
b	0.00267171	0.00845001	0.0258357	0.0326421	0.085695	0.0389304	0.619692	0.0516305	0.134452
v	0.161828	0.0555393	0.0757749	0.0558512	0.085938	0.0321024	0.244013	0.0111362	0.277817
ú	0.00653134	0.00640203	0.0173749	0.052035	0.194981	0.269182	0.135597	0.0580622	0.259834
s	0.000847554	0.00591465	0.0219191	0.062179	0.129907	0.155096	0.273052	0.194419	0.156665
á	0.00872563	0.0117472	0.0320218	0.047748	0.110162	0.207016	0.114892	0.18766	0.280028
ó	0.00592489	0.00643322	0.0397593	0.0323467	0.0558673	0.00718979	0.63917	0.0201689	0.19314
d	0.00403781	0.0104279	0.0360043	0.0439937	0.0311251	0.00920861	0.348704	0.11499	0.401508
z	0.00303289	0.00193657	0.0119167	0.0318516	0.0196073	0.0126514	0.124162	0.0787705	0.716071
e	0.0123956	0.0043359	0.044178	0.109257	0.0693388	0.0285862	0.2255	0.0736305	0.432778
l	0.00541014	0.00702432	0.0333133	0.0363745	0.059444	0.00556659	0.529848	0.0276422	0.295378
a	0.00729398	0.00861505	0.0160006	0.0149593	0.0118554	0.0055588	0.0548698	0.0365581	0.844289
l	0.0171584	0.0176716	0.0418438	0.0333845	0.0389656	0.0164121	0.16988	0.0665677	0.598116
e	0.0115168	0.0156587	0.0569854	0.0627947	0.0320043	0.0185937	0.180837	0.150997	0.470613
b	0.00110775	0.00641325	0.016277	0.0413126	0.0493685	0.0301337	0.141772	0.144603	0.569012
o	0.0147563	0.0448332	0.0560635	0.0712294	0.0792984	0.0384525	0.279936	0.0493404	0.366091
n	0.000350034	0.0040726	0.007284	0.019183	0.0378876	0.0346746	0.0805924	0.0831456	0.73281
g	0.00410734	0.00754246	0.0143501	0.0685903	0.165978	0.274748	0.0300389	0.0923707	0.342274
i	0.0052606	0.00463528	0.011302	0.0126403	0.0369004	0.100904	0.035732	0.0874329	0.705192
</S>	0.00822082	0.0252348	0.0373771	0.0369407	0.0709158	0.0280636	0.0988147	0.0147528	0.67968
