 	ma	femme	attend	le	véhicule	qui	part	à	brazaville	</S>
m	0.844113	0.0670506	0.0326198	0.0304809	0.010946	0.0104263	0.00198791	0.00192008	0.000345722	0.000109882
w	0.311998	0.554063	0.0112284	0.00932504	0.00514971	0.0113433	0.0786562	0.00843892	0.00269123	0.00710554
á	0.405049	0.489593	0.0349949	0.00945563	0.0106718	0.00761202	0.0273368	0.0013781	0.0133204	0.000588048
s	0.990971	0.00540412	0.000145959	0.000284635	0.000168931	0.000253596	0.00144145	9.92153e-05	4.02847e-05	0.00119065
í	0.66805	0.0484103	0.0272004	0.0244739	0.00413214	0.0217008	0.0339925	0.0149342	0.0159191	0.141187
y	0.451265	0.118819	0.032726	0.0896409	0.0126018	0.0685438	0.0452737	0.0657781	0.0371061	0.078246
a	0.100181	0.415034	0.121323	0.0855723	0.0595403	0.0722985	0.0296876	0.0398853	0.0179764	0.0585022
n	0.701953	0.0946839	0.0480038	0.034812	0.00698199	0.0249578	0.0225101	0.00824505	0.0070005	0.0508517
g	0.911098	0.0048275	0.0231114	0.0129361	0.000368055	0.00244677	0.00259167	0.000987751	0.0395474	0.00208575
á	0.317995	0.0799338	0.197489	0.031484	0.00553867	0.0229851	0.0243522	0.0075305	0.211434	0.101258
b	0.121456	0.122666	0.262328	0.261266	0.070108	0.0511491	0.0274292	0.0389536	0.00835008	0.0362942
o	0.167252	0.0851658	0.391976	0.154851	0.0236652	0.0211592	0.0542394	0.0345826	0.00335456	0.0637544
l	0.0151177	0.0364291	0.671068	0.200528	0.0417337	0.0105451	0.0031543	0.0137381	0.000782195	0.00690426
á	0.201654	0.0202226	0.388989	0.0961331	0.0418824	0.0403069	0.0388009	0.0485693	0.0244775	0.0989642
a	0.48032	0.0366697	0.118493	0.184722	0.0593128	0.029865	0.0279503	0.0199068	0.00916148	0.0335997
k	0.00676836	0.0386382	0.621997	0.182264	0.12203	0.00275338	0.00239319	0.00793342	0.000412674	0.014809
y	0.000183465	0.0166128	0.57863	0.186657	0.189782	0.00512953	0.00230167	0.00786526	0.000185945	0.012652
έ	0.00721583	0.0192623	0.645516	0.10464	0.204121	0.00338073	0.001836	0.00746819	0.000215198	0.00634438
έ	0.00336309	0.00210353	0.306174	0.329201	0.0939722	0.029537	0.0363154	0.0765008	0.00693201	0.115901
l	0.00097106	0.000416883	0.0706914	0.543642	0.106068	0.0741844	0.0827859	0.0430585	0.0109646	0.0672163
έ	0.00211632	0.00124725	0.379485	0.251015	0.185919	0.0327003	0.0246242	0.0528095	0.01665	0.0534343
o	0.00378565	0.00427456	0.0681268	0.53068	0.083372	0.134917	0.117588	0.0212626	0.00915721	0.0268363
t	0.000176975	0.0019127	0.016613	0.0593651	0.862064	0.0386671	0.0107605	0.00541629	0.000807619	0.00421684
ω	2.16591e-05	0.000287044	0.0156921	0.0137476	0.950098	0.00712718	0.00146619	0.00305062	0.00131165	0.00719835
m	4.20822e-05	0.000524786	0.0285103	0.0873256	0.822427	0.0449335	0.00355242	0.00842025	0.00087744	0.00338631
b	0.000141555	0.000198265	0.00207569	0.0471997	0.298243	0.262303	0.0426336	0.109996	0.0207565	0.216452
í	7.65555e-05	0.000348259	0.00433128	0.025142	0.337477	0.0720988	0.0585979	0.0717583	0.0120417	0.418128
l	0.000835527	0.000619324	0.00996737	0.0682953	0.0835922	0.199697	0.0869926	0.160239	0.0190488	0.370713
i	0.003489	0.00104743	0.054502	0.0894207	0.105411	0.234166	0.0873113	0.0869608	0.109262	0.22843
m	0.000449302	0.000157139	0.00149927	0.0218328	0.00549706	0.120571	0.254211	0.25057	0.107935	0.237278
ó	0.000133607	0.00172853	0.00026918	0.0277208	0.0324451	0.22022	0.181543	0.268111	0.00603229	0.261797
ó	0.000247696	0.000651748	0.00261615	0.0717523	0.0777965	0.291097	0.0890747	0.228706	0.0599331	0.178125
d	0.000300917	0.00841932	0.020642	0.111514	0.0343771	0.0449979	0.0628743	0.452563	0.0358951	0.228416
z	8.64781e-05	0.00625517	0.00349498	0.0133474	0.00629496	0.025284	0.0230768	0.210562	0.0114377	0.70016
w	0.000852508	0.00973795	0.00639058	0.0404978	0.0371459	0.230293	0.0417897	0.292248	0.0697585	0.271286
á	0.000728757	0.00114101	0.000781575	0.0205233	0.019078	0.164103	0.113965	0.35286	0.0335588	0.293261
n	0.000163602	0.000211481	0.000741443	0.00833475	0.00388251	0.0705362	0.131324	0.149165	0.306322	0.329319
g	0.0013208	3.72511e-05	0.000499443	0.0010942	0.000356152	0.00829297	0.0292171	0.0131513	0.866738	0.0792926
y	0.00073614	0.000143687	0.000720447	0.00123787	0.000410038	0.00820822	0.0196921	0.00775522	0.919461	0.0416355
ε	7.85189e-05	3.86681e-05	0.000712825	0.001796	0.00631914	0.0360088	0.0628533	0.136344	0.41839	0.337459
l	5.17852e-05	2.89552e-05	0.00151614	0.0154805	0.012067	0.0311085	0.0430855	0.111401	0.489041	0.29622
έ	2.12524e-05	2.16659e-05	0.00026838	0.00275253	0.0108836	0.0155774	0.0321939	0.154977	0.201119	0.582186
</S>	6.85977e-05	5.03067e-05	0.000314034	0.00388756	0.00375729	0.0307337	0.0566356	0.176943	0.0505209	0.677089
