 	je	n'	en	ai	vu	aucun	</S>
n	0.669026	0.141635	0.0745098	0.0275754	0.0361006	0.0290721	0.0220813
g	0.952676	0.0131398	0.00348404	0.0179492	0.00834392	0.00240451	0.0020024
á	0.909167	0.0368343	0.0108467	0.0293999	0.0100109	0.00178388	0.00195693
í	0.0456593	0.298339	0.166467	0.207076	0.130833	0.0866446	0.0649814
d	0.0256682	0.505911	0.278328	0.0173521	0.0288739	0.0524609	0.0914053
z	0.0161491	0.433222	0.169316	0.0369105	0.0147896	0.0177464	0.311867
e	0.181297	0.691428	0.0753304	0.0309797	0.00284039	0.00262949	0.0154957
ω	0.0528625	0.0585067	0.14228	0.175661	0.25719	0.069388	0.244112
t	0.0049616	0.138145	0.621538	0.0803134	0.0265883	0.0657088	0.0627449
á	0.000157401	0.100855	0.528699	0.0197395	0.0122984	0.0592695	0.278981
á	0.00515021	0.155471	0.348306	0.113889	0.109596	0.0860222	0.181566
s	0.0160474	0.076086	0.082408	0.428825	0.301986	0.078245	0.0164029
i	0.00683175	0.0642759	0.205974	0.2305	0.0917735	0.15711	0.243534
ω	0.0663047	0.0436078	0.0574875	0.369606	0.144696	0.264136	0.0541619
p	0.00146606	0.0247181	0.0691163	0.0755524	0.0825484	0.612943	0.133656
ω	4.79805e-05	0.00849058	0.0423641	0.014156	0.0731713	0.631722	0.230048
ώ	0.000140928	0.017958	0.0913006	0.0839956	0.202693	0.261487	0.342425
k	0.00333579	0.0167276	0.0168124	0.283566	0.343842	0.13243	0.203287
a	0.00271801	0.0024317	0.00970141	0.0435694	0.310579	0.536171	0.0948287
á	0.00566001	0.000936793	0.00503731	0.0617664	0.1688	0.340399	0.417401
</S>	0.011987	0.0318052	0.0261837	0.157677	0.174636	0.157524	0.440186
