 	le	paon	congolais	a	de	longues	plumes	</S>
k	0.556713	0.37885	0.0335723	0.0152223	0.00704184	0.00798758	0.00056131	5.12896e-05
ú	0.0686847	0.913723	0.00730468	0.0025687	0.00241085	0.00143244	0.00344016	0.000435153
l	0.0141067	0.688498	0.202999	0.0257129	0.0357251	0.00956896	0.00672473	0.0166644
ε	0.0769848	0.803095	0.0473436	0.0230718	0.0201019	0.0116335	0.00689542	0.0108739
n	0.745408	0.117637	0.0719442	0.0201946	0.00954711	0.00686301	0.00289176	0.0255148
g	0.289029	0.448875	0.0310798	0.0209028	0.0245573	0.0999646	0.012154	0.0734376
ú	0.126898	0.698789	0.0478802	0.00960153	0.00672	0.0951077	0.00886411	0.00613999
a	0.0980867	0.102332	0.473556	0.142492	0.0581849	0.0528505	0.0177779	0.0547201
d	0.107877	0.0360546	0.523814	0.18476	0.0735578	0.0182839	0.00711755	0.0485346
í	0.0167948	0.00638796	0.40901	0.206701	0.102275	0.0968331	0.0092567	0.152742
l	0.0215154	0.00767695	0.271709	0.248563	0.116296	0.0558184	0.0239386	0.254483
a	0.0050084	0.00384789	0.293299	0.247652	0.0971811	0.0362366	0.0164155	0.30036
t	0.0128636	0.00855369	0.545184	0.118832	0.0811717	0.0369802	0.0741526	0.122263
s	0.00645517	0.0148403	0.719004	0.119767	0.076094	0.00330831	0.00812683	0.0524042
á	0.00616712	0.0477288	0.376746	0.137449	0.235897	0.0148217	0.0294321	0.151757
l	0.0054714	0.00737692	0.126536	0.111999	0.0743247	0.00509476	0.00753219	0.661666
á	0.0110976	0.0401405	0.150887	0.236626	0.208587	0.0577403	0.029184	0.265737
n	0.0111904	0.00649661	0.0427219	0.322486	0.402732	0.120358	0.0257653	0.0682493
d	0.0226145	0.0343308	0.0141459	0.0801345	0.10584	0.596082	0.0414414	0.105411
a	0.00213652	0.00681073	0.0127799	0.0433493	0.0994769	0.67328	0.0764964	0.0856704
á	0.00125398	0.00369182	0.0388649	0.150115	0.191725	0.291068	0.23352	0.0897612
n	0.00222826	0.00139222	0.0103644	0.076323	0.196453	0.305743	0.325122	0.0823743
d	0.00895987	0.00534805	0.00618703	0.0343055	0.0649494	0.75152	0.0865819	0.042148
a	0.000273697	0.00108998	0.00221762	0.00986622	0.0470827	0.750311	0.156008	0.0331504
á	0.000320839	0.00115872	0.0133847	0.0771414	0.146159	0.226499	0.422043	0.113294
</S>	0.00209133	0.00123266	0.00793348	0.0335135	0.0771506	0.288143	0.450066	0.13987
