 	n'	accoste	pas	ta	pirogue	ici	</S>
o	0.862343	0.0758414	0.0214657	0.00875727	0.0253233	0.00588624	0.000383482
t	0.428606	0.509692	0.0312872	0.00994053	0.00785676	0.00447264	0.00814481
á	0.272097	0.317239	0.294017	0.0206464	0.0284988	0.0281661	0.0393357
a	0.399071	0.242894	0.15609	0.0144791	0.0301554	0.0416788	0.115631
w	0.697803	0.0833986	0.109322	0.0645433	0.00955206	0.0224904	0.0128901
á	0.172853	0.0293632	0.134272	0.157307	0.0488541	0.110785	0.346567
á	0.272965	0.0733502	0.149129	0.128055	0.0383601	0.0500849	0.288055
o	0.0847695	0.153632	0.360661	0.132863	0.145348	0.051908	0.0708189
s	0.0529243	0.35694	0.443313	0.0169593	0.041772	0.038358	0.0497336
e	0.0284675	0.488594	0.232805	0.035199	0.0100401	0.0173634	0.187531
m	0.0571482	0.248002	0.362958	0.0222413	0.0098838	0.0189754	0.280791
í	0.132192	0.2202	0.18815	0.105764	0.0221186	0.177892	0.153684
s	0.0471581	0.0452657	0.20164	0.280577	0.18902	0.110965	0.125374
í	0.00542377	0.0141003	0.0646787	0.594451	0.0555366	0.15181	0.114
b	0.00351439	0.00441649	0.0324145	0.797661	0.0595079	0.0818107	0.0206756
v	0.00652358	0.00409472	0.0531837	0.223684	0.327974	0.36373	0.0208095
á	0.000255331	0.00252858	0.0141594	0.124856	0.708787	0.136584	0.0128299
r	0.000738654	0.0013879	0.0221279	0.236476	0.443936	0.220193	0.0751405
e	0.00285818	0.00321548	0.0616477	0.67269	0.135902	0.0569287	0.0667576
b	0.0028841	0.00180556	0.104126	0.314441	0.114299	0.144925	0.31752
á	0.00901498	0.00345576	0.062326	0.382008	0.348618	0.117096	0.0774815
n	0.0041805	0.00233396	0.0207472	0.645169	0.0729597	0.181781	0.0728284
ω	0.000218373	0.0011432	0.000789823	0.880459	0.0204323	0.0632488	0.0337087
b	0.00168416	0.00615081	0.0132084	0.281247	0.0277386	0.106699	0.563273
h	0.00630294	0.0147823	0.0337376	0.297054	0.295514	0.272663	0.0799469
á	0.00144038	0.00201311	0.0334053	0.32895	0.231162	0.210579	0.192451
</S>	0.00761748	0.00110691	0.0235947	0.325442	0.0307498	0.126424	0.485065
