 	la	parcelle	est	fermée	</S>
l	0.496793	0.486633	0.0157543	0.000408726	0.000411144
e	0.369912	0.610121	0.0164593	0.00195169	0.00155678
p	0.0739868	0.905525	0.00882543	0.00275607	0.00890705
á	0.0152136	0.84737	0.0288777	0.032795	0.0757435
n	0.061495	0.856514	0.0372055	0.00478514	0.0400008
g	0.163498	0.810179	0.0114198	0.00146759	0.0134358
e	0.407468	0.550698	0.0198955	0.00400708	0.0179311
í	0.0621419	0.029863	0.846656	0.00532202	0.0560168
d	0.0504479	0.0352525	0.824288	0.03844	0.0515717
í	0.0136917	0.00295002	0.431579	0.0221992	0.52958
i	0.00736691	0.00228895	0.177534	0.414919	0.397892
k	0.00579525	0.00480985	0.0422472	0.818195	0.128952
a	0.000198991	0.00128623	0.00360048	0.969867	0.0250468
n	0.00123662	0.0117187	0.00581015	0.953458	0.0277771
g	0.0101686	0.0474105	0.027961	0.717244	0.197216
á	0.0198067	0.057189	0.0262928	0.143843	0.752869
k	0.0141567	0.00820867	0.0434965	0.463625	0.470514
a	0.00348305	0.0104728	0.016481	0.859381	0.110182
n	0.0105438	0.0114296	0.0202602	0.574663	0.383103
g	0.00409653	0.0314058	0.0126095	0.719688	0.2322
a	0.00612408	0.0271305	0.00935779	0.175687	0.781701
</S>	0.0115447	0.013494	0.0879824	0.0618161	0.825163
