 	ses	collègues	de	classe	l'	ont	raisonné	parce	qu'	il	est	trop	orgueilleux	</S>
a	0.606612	0.251467	0.0664526	0.0365608	0.0212937	0.00849649	0.00229805	0.00165056	0.0024608	0.00189604	0.000632057	0.000167462	3.1559e-06	8.71602e-06
b	0.0301717	0.926057	0.0190162	0.00787412	0.00253856	0.00267855	0.00434843	0.00145283	0.00165733	0.00140586	0.000878208	0.00106569	0.000376483	0.000478818
i	0.0476852	0.915527	0.01017	0.0111713	0.00227201	0.00151351	0.00877606	0.00100998	0.000796921	0.000403663	0.000216852	0.000111945	2.8866e-05	0.000316637
a	0.0236273	0.900551	0.029844	0.0198396	0.00523295	0.00423849	0.00814321	0.00117565	0.000936424	0.00126362	0.000692142	0.00055294	0.0002875	0.003615
b	0.144856	0.0268978	0.493838	0.153067	0.0683737	0.0253627	0.00279364	0.00988925	0.0080186	0.0103599	0.0160602	0.00794463	0.00209159	0.0304477
á	0.143833	0.0159257	0.316999	0.210319	0.144246	0.0326699	0.00882124	0.0321444	0.0173971	0.0180162	0.016103	0.00608873	0.000638268	0.0367988
l	0.309173	0.019501	0.32319	0.161674	0.0624066	0.0291923	0.00405074	0.00693384	0.0137747	0.0194283	0.0135599	0.00826616	0.00463327	0.0242161
e	0.0908684	0.0185862	0.262741	0.110311	0.0567823	0.0362802	0.0193945	0.0156125	0.0177316	0.0136548	0.0204036	0.0938003	0.0665379	0.177295
k	0.10615	0.0137135	0.228579	0.312011	0.146658	0.0209935	0.0486896	0.00821221	0.0044782	0.00251081	0.00665502	0.040862	0.0250056	0.0354814
ώ	0.0395684	0.00372143	0.0915247	0.447047	0.0868347	0.0193903	0.244968	0.00683734	0.00268716	0.00336345	0.0089151	0.0258439	0.0049737	0.0143244
ώ	0.0121927	0.0291964	0.127093	0.44784	0.231566	0.00996691	0.0424726	0.00974291	0.00834528	0.00461195	0.0135665	0.0261953	0.00491818	0.0322924
l	0.0409268	0.00150402	0.139489	0.19291	0.47252	0.0845194	0.00808543	0.0209994	0.016242	0.0100292	0.00634085	0.00227068	0.000553854	0.00361035
i	0.0230317	0.000942717	0.121018	0.268191	0.212803	0.047028	0.061007	0.0507053	0.0289926	0.0190846	0.0189365	0.0409045	0.0181901	0.0891651
á	0.0118865	0.00041202	0.0793413	0.0878294	0.438843	0.230923	0.0177274	0.0337516	0.0349159	0.024613	0.0123264	0.00720317	0.00581687	0.0144101
b	0.00899339	0.00324359	0.0212587	0.0368885	0.0570719	0.295755	0.469484	0.0220624	0.00419967	0.00391302	0.0109349	0.0175068	0.0241998	0.0244884
o	0.00405758	0.0165945	0.0238889	0.0642961	0.0432628	0.0645121	0.707461	0.0361946	0.0109993	0.00827683	0.00909347	0.00298235	0.00149631	0.00688442
n	0.000932042	0.00201234	0.0171712	0.070476	0.0362543	0.0597668	0.767971	0.0110324	0.00236422	0.00254873	0.00721879	0.0059598	0.00204274	0.0142497
d	0.00534487	0.00170306	0.0279373	0.0614876	0.0757008	0.162751	0.502606	0.0534937	0.0199596	0.02099	0.0184649	0.0132834	0.00582493	0.0304533
i	0.00458269	0.0011722	0.0241927	0.0613713	0.0588064	0.0584882	0.586779	0.0572242	0.0173499	0.0190397	0.0085336	0.0101213	0.00548359	0.0868553
s	0.00406842	5.36291e-05	0.0114373	0.0218685	0.0639011	0.139172	0.0670288	0.344291	0.179144	0.0990889	0.037623	0.0140114	0.00224307	0.0160688
i	0.00454991	0.000282564	0.00395952	0.00694794	0.0109789	0.0107823	0.193579	0.549146	0.1034	0.0173946	0.0148602	0.0155185	0.0297897	0.0388113
w	0.00233737	0.000584991	0.00580907	0.00267303	0.0244425	0.0304761	0.00720251	0.416828	0.397228	0.0779497	0.0199539	0.00544264	0.00397479	0.00509759
a	0.00523094	0.000206061	0.0043233	0.0189218	0.0310713	0.0329554	0.0205448	0.27512	0.255569	0.17281	0.118955	0.0291376	0.00913318	0.0260212
t	0.0014012	3.14108e-05	0.00187487	0.00327938	0.0106767	0.0171164	0.00359631	0.274562	0.309048	0.194692	0.12694	0.031003	0.00782186	0.0179564
s	0.00411012	0.000526063	0.00928025	0.0281282	0.022112	0.00840843	0.0340284	0.254872	0.20076	0.168971	0.139074	0.0721443	0.014346	0.0432387
í	0.000436266	0.000152282	0.000727807	0.00838713	0.00649665	0.00203854	0.0582405	0.374284	0.168288	0.115245	0.127894	0.0667663	0.0360276	0.0350153
