 	la	foudre	est	tombée	sur	la	maison	de	votre	oncle	</S>
m	0.732168	0.260887	0.00336187	0.00069146	0.000790305	0.000604605	0.000626854	0.000446591	0.000388067	2.01025e-05	1.51564e-05
w	0.0326978	0.897912	0.035486	0.00301364	0.00605115	0.00173464	0.00160458	0.00158805	0.000541094	0.0004582	0.0189127
a	0.0017095	0.997936	1.42155e-05	2.65742e-05	4.55204e-05	3.49449e-05	0.000102949	0.000102702	1.36773e-05	9.08036e-06	4.66098e-06
n	0.0647297	0.886502	0.0117913	0.00676228	0.00232913	0.00085673	0.00163903	0.00104792	0.000571446	0.000134761	0.023636
d	0.042967	0.821922	0.0105198	0.00244888	0.00232831	0.00179601	0.0485175	0.0125926	0.00646975	0.00485278	0.0455854
z	0.0891767	0.791053	0.0673037	0.00526601	0.00323559	0.00304282	0.00624386	0.00606123	0.00158389	0.00166423	0.0253688
a	0.0863696	0.77329	0.0227017	0.00576355	0.00287928	0.0024186	0.0121916	0.0234487	0.00709502	0.00134325	0.062499
ó	0.102852	0.0413247	0.769653	0.0240259	0.0317953	0.0085503	0.00180475	0.00416647	0.00546375	0.00193194	0.00843218
b	0.0347798	0.00253124	0.603053	0.246233	0.0555819	0.00982562	0.00520951	0.00336276	0.00300487	0.00355611	0.0328626
v	0.0114825	0.00410067	0.120604	0.617575	0.128026	0.0598891	0.0139577	0.0164004	0.00802425	0.00482655	0.0151137
e	0.00915241	0.00678835	0.057879	0.724324	0.0941593	0.055169	0.0175714	0.0145673	0.014122	0.000658176	0.00560873
m	0.0162564	0.00498674	0.102329	0.46066	0.113217	0.101714	0.0695479	0.038538	0.00791851	0.000927341	0.0839046
ó	0.00568951	0.0134863	0.0259491	0.0610693	0.225758	0.19586	0.372497	0.0775618	0.00722605	0.00277011	0.0121327
n	0.00643993	0.00382423	0.0111654	0.0326349	0.239194	0.363003	0.201889	0.0932128	0.0109058	0.022515	0.0152151
d	0.00099626	0.00410272	0.0025882	0.00416789	0.0567854	0.0804799	0.74148	0.0397372	0.00587595	0.0567922	0.0069945
é	0.0002801	0.00164924	0.000806376	0.00317813	0.05459	0.13964	0.612068	0.0873434	0.0074176	0.0757812	0.0172457
e	0.00099927	0.00255016	0.0113713	0.0107075	0.113875	0.191181	0.232042	0.189408	0.0411849	0.15459	0.0520915
y	0.00417986	0.000386859	0.0304183	0.0101304	0.0705066	0.152567	0.248634	0.302787	0.129236	0.0271212	0.0240332
á	0.0216993	0.00105967	0.0250821	0.00516809	0.0434327	0.151621	0.341909	0.229477	0.0914609	0.033318	0.0557717
b	0.00530623	0.000381796	0.00690121	0.00107745	0.0131023	0.0383595	0.07779	0.149473	0.622509	0.0742519	0.0108479
í	0.00298954	0.0023691	0.00587224	0.00449739	0.0105062	0.0350584	0.0417658	0.121239	0.745855	0.0234804	0.0063672
n	0.00216923	0.000251636	0.00275042	0.00850295	0.0146138	0.0206695	0.0131252	0.140792	0.589802	0.0867484	0.120575
í	0.00324378	0.00334494	0.00324014	0.011649	0.0203866	0.0669577	0.117921	0.346447	0.150608	0.0468139	0.229388
n	0.00322149	0.000796225	0.0169277	0.00618464	0.0212177	0.052186	0.169695	0.162039	0.25736	0.156336	0.154036
g	0.00414775	0.00427275	0.00356567	0.0032665	0.0115184	0.0249082	0.253241	0.168184	0.109983	0.265767	0.151146
ó	0.00015237	0.000365909	0.000298478	0.000125584	0.00181896	0.00557159	0.0591051	0.0411409	0.0449585	0.82429	0.0221726
l	0.000731824	0.00044832	0.00537953	0.00153795	0.0184759	0.029039	0.0334563	0.0683708	0.104516	0.553676	0.184368
ó	0.00517808	0.00101692	0.0124168	0.00558687	0.019247	0.0423395	0.0515127	0.145751	0.092555	0.26819	0.356206
m	0.00244853	0.000107393	0.00881693	0.00254369	0.0154543	0.0318243	0.0407758	0.0912698	0.186384	0.22965	0.390725
i	0.00212116	0.00648394	0.0100782	0.00420662	0.0533491	0.0801853	0.0853473	0.104195	0.0431786	0.0213296	0.589525
</S>	0.00039565	0.000597037	0.00472493	0.00490987	0.0156071	0.0163957	0.00942969	0.0643025	0.0620867	0.0434883	0.778063
