 	les	enfants	s'	amusent	dans	la	cour	</S>
b	0.705282	0.270771	0.0162401	0.00501487	0.001623	0.000883944	0.000113237	7.20016e-05
á	0.170715	0.766085	0.0575068	0.000932876	0.00240851	0.0020989	8.05055e-05	0.000172873
n	0.163214	0.810815	0.022836	0.000561353	0.00196249	0.000387924	3.21511e-05	0.000191112
a	0.255533	0.726653	0.0124314	0.00128508	0.000880491	0.000303316	0.000336833	0.00257682
b	0.340472	0.144644	0.330606	0.0347411	0.0575074	0.0334384	0.00223326	0.0563577
á	0.230611	0.224394	0.269051	0.00610215	0.128181	0.0585729	0.00052768	0.0825607
a	0.203588	0.160243	0.439208	0.112774	0.0383192	0.0152828	0.00411003	0.0264753
s	0.00544097	0.00752294	0.0910809	0.862216	0.0212211	0.00543597	0.000692646	0.00638914
a	0.00114416	0.00106992	0.0108662	0.981144	0.00450139	0.000375476	0.000219418	0.000678914
n	0.0852293	0.0528211	0.280154	0.532531	0.0325277	0.0028058	0.00546377	0.00846712
á	0.150289	0.011608	0.232756	0.391087	0.1839	0.0154477	0.00291338	0.0119997
á	0.121964	0.0363299	0.125732	0.114715	0.545141	0.0488145	0.00246173	0.00484162
m	0.0193036	0.0118271	0.0356506	0.0590956	0.629533	0.213542	0.018638	0.0124107
ó	0.0139235	0.0018971	0.0269639	0.0258834	0.255286	0.523781	0.0322546	0.12001
n	0.0266106	0.00152728	0.0285724	0.0429595	0.141055	0.316076	0.408371	0.0348284
d	0.00775788	0.00626489	0.0199715	0.221618	0.161513	0.220098	0.308291	0.0544857
z	0.000294858	0.00110808	0.00123178	0.068833	0.0289857	0.088313	0.756491	0.0547429
í	7.57622e-05	0.000189365	0.00156774	0.0129692	0.0152011	0.0472432	0.886875	0.0358781
e	0.000996438	0.000719461	0.0150088	0.0123077	0.0551917	0.0881289	0.402225	0.425422
</S>	0.00049886	2.2586e-05	0.00349216	0.0010727	0.0900764	0.320079	0.0744506	0.510308
