 	les	enfants	d'	otsende	savent	piéger	les	porc-épics	</S>
b	0.442083	0.398004	0.0776371	0.0662544	0.00957859	0.00307821	0.00320405	0.000135896	2.44472e-05
á	0.0708529	0.896644	0.0276416	0.00272728	0.000236862	0.000403362	0.00116091	0.000231243	0.00010162
n	0.055239	0.930963	0.0113684	0.00128748	0.000180719	0.000120353	0.000646809	9.53333e-05	9.8916e-05
a	0.156999	0.827687	0.0115004	0.0010123	6.47993e-05	7.96127e-05	0.000210457	0.000165332	0.00228082
b	0.315194	0.169609	0.380761	0.067816	0.028167	0.0127669	0.0115261	0.0044753	0.0096849
ó	0.10749	0.0667382	0.463261	0.0824696	0.0405392	0.0901709	0.0532837	0.00754542	0.0885016
t	0.0646774	0.0573019	0.282047	0.239689	0.203763	0.0465105	0.0442761	0.00762352	0.0541111
s	0.0759262	0.0262193	0.203571	0.505684	0.171647	0.00538134	0.00443421	0.00376243	0.00337513
é	0.00876056	0.00187777	0.277004	0.603366	0.0900891	0.00827737	0.00564513	0.00153304	0.00344683
n	0.0450653	0.00601705	0.153347	0.407303	0.318967	0.0163428	0.00784286	0.00389818	0.0412171
d	0.188174	0.0316413	0.150193	0.424718	0.121264	0.00740223	0.00666042	0.0083067	0.0616399
e	0.0966061	0.0484149	0.113372	0.531925	0.0985667	0.00289332	0.00202843	0.0130261	0.0931678
b	0.0288612	0.00214642	0.228447	0.0913323	0.416949	0.151373	0.0600626	0.00341643	0.0174127
á	0.166565	0.0679772	0.253079	0.0494171	0.14755	0.192234	0.06532	0.00678182	0.051075
a	0.168699	0.130084	0.112977	0.0106615	0.160603	0.222764	0.104025	0.00970417	0.0804823
y	0.00360858	0.000738463	0.0206246	0.0211184	0.317327	0.593222	0.0253476	0.00477694	0.0132363
é	0.013721	0.00111019	0.0671315	0.115572	0.415571	0.249187	0.0378812	0.0461358	0.05369
b	0.0101958	0.000154812	0.0363074	0.0391043	0.398133	0.214947	0.0527755	0.0443876	0.203994
h	0.00779907	0.000726922	0.0476288	0.0901338	0.334279	0.475209	0.0265465	0.003195	0.0144811
á	0.0485937	0.00241127	0.0434713	0.0867825	0.267891	0.242814	0.0699892	0.0252113	0.212836
o	0.0065755	0.000950634	0.0109128	0.00736843	0.0750049	0.352754	0.4262	0.0379202	0.0823141
s	0.00717048	0.000938231	0.00814867	0.0119008	0.0489785	0.372551	0.210931	0.269658	0.069724
ώ	0.00267497	0.00010808	0.00456813	0.00690681	0.0172398	0.0791802	0.0715516	0.716955	0.100815
ω	0.000408857	1.1719e-05	0.00271833	0.00211424	0.0146349	0.110232	0.237015	0.301898	0.330966
a	0.00176992	4.11239e-05	0.00150573	0.000989047	0.00188404	0.0192885	0.59748	0.155298	0.221744
n	0.0139304	0.000797454	0.00907868	0.0050917	0.0103483	0.048617	0.608512	0.219899	0.0837249
g	0.0563758	0.0035939	0.0105056	0.00999366	0.00296158	0.00442151	0.162277	0.614636	0.135235
o	0.00895984	0.0187597	0.0126053	0.0163554	0.00212629	0.00658195	0.14705	0.660441	0.12712
m	0.000814999	0.000264459	0.00111404	0.00489078	0.000883725	0.00370768	0.015008	0.667074	0.306242
b	0.0175457	0.000281909	0.00366244	0.00197211	0.00446725	0.00581978	0.0752477	0.233784	0.657219
á	0.0343061	0.00090259	0.0173669	0.0136533	0.00543384	0.0182956	0.100872	0.224576	0.584593
</S>	0.0171906	0.00033683	0.00691696	0.00352611	0.013664	0.023009	0.23028	0.232341	0.472735
