 	cette	manière	de	s'	étonner	est	celle	d'	un	innocent	</S>
e	0.38803	0.408986	0.0980626	0.0352292	0.0112075	0.00514021	0.00954496	0.0107863	0.0100292	0.00758666	0.0153967
k	0.00742074	0.015442	0.00391913	0.0447618	0.140272	0.175352	0.268811	0.103648	0.111708	0.120918	0.00774778
y	0.00384061	0.0213494	0.00378659	0.0304553	0.16673	0.110414	0.368365	0.109754	0.0360865	0.134398	0.0148206
e	0.00700003	0.0455421	0.00313124	0.052774	0.339605	0.189812	0.191598	0.0826447	0.0440876	0.0281057	0.0156995
m	0.0404491	0.0210952	0.00832732	0.116791	0.272753	0.14076	0.225901	0.0601547	0.0539587	0.0183218	0.0414885
í	0.0884471	0.0898373	0.044222	0.0666086	0.0765401	0.131006	0.0584165	0.109609	0.0833332	0.0478022	0.204178
í	0.118952	0.0597385	0.0249773	0.0899554	0.196333	0.148773	0.0886129	0.0829335	0.0924989	0.0388769	0.0583488
l	0.0669525	0.0190316	0.0430875	0.091209	0.174624	0.212837	0.100295	0.06524	0.0412561	0.00960241	0.175864
í	0.0490434	0.0264775	0.0738618	0.093103	0.0731181	0.116661	0.0526287	0.0465764	0.0748371	0.021018	0.372675
y	0.168354	0.269088	0.260213	0.113714	0.0565901	0.0232503	0.0196659	0.0174369	0.0223537	0.00922992	0.0401039
é	0.088783	0.0290006	0.231523	0.138996	0.176292	0.078036	0.0662518	0.0417712	0.030564	0.0127981	0.105984
y	0.082391	0.0266239	0.22502	0.142865	0.220718	0.0636208	0.0485023	0.0215753	0.0177871	0.00572509	0.145172
á	0.0615484	0.00660457	0.231408	0.130554	0.233863	0.0742679	0.0788859	0.0317331	0.0229791	0.0143862	0.11377
m	0.0711879	0.00835143	0.204845	0.115419	0.15875	0.0837953	0.103987	0.0461111	0.0234725	0.0100927	0.173988
o	0.0569641	0.000827999	0.0833875	0.406286	0.151449	0.147793	0.041769	0.0572601	0.0288487	0.00403438	0.021381
r	0.00432588	0.00231069	0.0239031	0.123732	0.189261	0.159137	0.133767	0.21522	0.103643	0.0203244	0.0243763
o	0.053383	0.00520317	0.0946404	0.132065	0.434869	0.0718073	0.0500893	0.0799533	0.0334258	0.012841	0.0317228
y	0.00680765	0.00158894	0.195278	0.113588	0.141876	0.141769	0.136232	0.113814	0.065017	0.0158834	0.0681455
e	0.306151	0.0203836	0.266067	0.134355	0.0863209	0.0430342	0.0540056	0.0502047	0.0177429	0.0136596	0.00807545
e	0.0489748	0.00579655	0.1176	0.0827299	0.0716375	0.097595	0.203056	0.166244	0.122703	0.0432486	0.0404138
d	0.00140198	0.000824729	0.00919967	0.039789	0.105016	0.164859	0.136077	0.184529	0.200928	0.102093	0.0552831
í	0.000996427	0.000161618	0.0034424	0.0325509	0.0256436	0.15409	0.282644	0.0828332	0.232214	0.0598741	0.125549
i	0.0040878	0.00108917	0.027372	0.0452756	0.0257884	0.0724911	0.16903	0.0978036	0.242139	0.152012	0.162912
b	0.00228229	0.00248044	0.00404438	0.00913879	0.0164375	0.0374809	0.0563394	0.092189	0.198227	0.328873	0.252508
h	0.00190516	0.00345497	0.00629279	0.0133881	0.00958235	0.028541	0.0643357	0.0706939	0.0852125	0.625228	0.0913656
ώ	0.000736451	0.00202949	0.00117759	0.004518	0.0187028	0.0356704	0.0952177	0.127037	0.134089	0.466319	0.114502
ω	0.00120145	0.00194101	0.00791906	0.00416015	0.0146439	0.0314347	0.0985884	0.132998	0.159963	0.31879	0.22836
o	0.00371763	0.00296035	0.0104602	0.015018	0.0231329	0.0380894	0.0614721	0.0988197	0.337962	0.245299	0.163069
y	0.00148226	0.000986791	0.00364608	0.0256924	0.0340535	0.0563492	0.0666323	0.0731045	0.4018	0.277491	0.0587616
é	0.00729881	0.0010594	0.01722	0.0321674	0.0589714	0.0682977	0.230356	0.0659895	0.272591	0.100448	0.1456
b	0.00384185	0.000437804	0.00818145	0.0105662	0.00979242	0.0241861	0.0822033	0.0442467	0.208203	0.129602	0.478739
h	0.000283073	0.00108956	0.00409278	0.00838984	0.0126068	0.0482029	0.212672	0.113214	0.16638	0.136365	0.296705
a	0.00230066	0.00220958	0.00150361	0.00288892	0.00968499	0.0174642	0.0790491	0.0782193	0.0772314	0.151624	0.577824
έ	0.00150313	0.000822205	0.00127269	0.00254558	0.00582469	0.0149683	0.0388174	0.0655961	0.160579	0.195494	0.512577
</S>	0.00197697	0.000690756	0.00431569	0.0083244	0.0174211	0.0353976	0.0501824	0.0570555	0.234463	0.175862	0.41431
