 	la	femme	balaye	autour	de	la	case	</S>
y	0.95628	0.015118	0.0124455	0.00722297	0.00438214	0.00442439	9.41794e-05	3.30391e-05
ú	0.63066	0.3521	0.00612336	0.00110364	0.00146213	0.00293899	0.00212356	0.00348859
r	0.653951	0.120544	0.0912312	0.0293022	0.0301724	0.0332591	0.0296595	0.0118814
u	0.581341	0.0956408	0.0541829	0.0128132	0.00768742	0.0224093	0.195659	0.030266
l	0.304062	0.101748	0.168695	0.0436151	0.0534314	0.0458171	0.0104288	0.272202
á	0.163711	0.00740146	0.201494	0.0940629	0.139285	0.0584142	0.0225584	0.313073
a	0.287297	0.0802991	0.449015	0.0866522	0.0224433	0.021338	0.0261112	0.0268441
d	0.0227225	0.163582	0.31224	0.35392	0.0940455	0.00665511	0.00571278	0.0411222
z	0.00355094	0.00691457	0.192608	0.521454	0.208897	0.00948675	0.000717047	0.0563717
έ	0.0415815	0.0371789	0.253005	0.499112	0.133976	0.00758191	0.00255952	0.0250054
n	0.00805685	0.00326882	0.206589	0.197585	0.112181	0.0546562	0.00438675	0.413276
g	0.0216846	0.000767677	0.560111	0.212225	0.0568506	0.0715883	0.0313533	0.045419
έ	0.0180976	0.000527373	0.625522	0.147138	0.0332802	0.0460696	0.0521982	0.0771669
s	0.00778253	0.000250128	0.168157	0.321961	0.292266	0.17156	0.0220219	0.0160018
έ	0.00347823	4.71235e-05	0.134318	0.299074	0.297381	0.174979	0.00886957	0.0818541
n	0.00511205	0.000205338	0.0678911	0.217599	0.36613	0.27863	0.0181292	0.0463031
d	0.00886862	0.000420371	0.152352	0.0982151	0.0905812	0.182408	0.413494	0.0536611
é	0.00279558	0.00370488	0.0611596	0.0579252	0.135405	0.171721	0.467182	0.100107
e	0.0016497	0.000379313	0.147204	0.115616	0.217889	0.289733	0.102345	0.125185
m	0.00139643	5.60317e-05	0.0227732	0.0614553	0.346292	0.322793	0.0263954	0.218838
i	0.00251143	0.00421839	0.0347756	0.067995	0.222316	0.189457	0.0407144	0.438012
b	0.000543826	0.000893111	0.0117035	0.0314336	0.174842	0.135055	0.0739693	0.571559
h	0.0043609	0.00108759	0.0282833	0.0931747	0.487927	0.202253	0.0314411	0.151472
ώ	0.000652042	8.09283e-05	0.0193547	0.109679	0.457768	0.112956	0.0566374	0.242872
m	8.87228e-05	3.16221e-06	0.0156719	0.0563088	0.327948	0.338842	0.0398976	0.221239
b	0.00116754	0.00012652	0.00736125	0.0342659	0.196095	0.177228	0.114942	0.468814
ω	0.00120312	0.000258786	0.0371216	0.127807	0.301451	0.14155	0.130624	0.259985
</S>	0.0318095	0.000392246	0.0234966	0.0421423	0.195136	0.146441	0.0127207	0.547861
