 	il	bascula	en	arrière	</S>
w	0.919721	0.0642025	0.014456	0.00146318	0.000157163
a	0.914749	0.0190769	0.0577705	0.00817102	0.000232718
a	0.717387	0.11684	0.11275	0.00330809	0.0497143
b	0.224826	0.458458	0.105529	0.00196885	0.209218
v	0.145618	0.592572	0.136671	0.000882863	0.124256
e	0.117968	0.63013	0.233367	0.000780606	0.0177536
m	0.0599171	0.144509	0.404632	0.00517016	0.385772
ó	0.174687	0.0369387	0.406666	0.0241695	0.357539
n	0.149134	0.14121	0.31259	0.28369	0.113377
g	0.0173161	0.00632288	0.0937983	0.634189	0.248374
ω	0.000269977	0.00102771	0.00125478	0.993053	0.00439423
n	0.000409778	0.000546598	0.000864876	0.987455	0.010724
g	0.00324648	0.00215983	0.0279853	0.416275	0.550334
ω	0.00477698	0.00230766	0.0101042	0.855553	0.127258
</S>	0.02603	0.00265418	0.168254	0.116244	0.686818
