 	il	casse	le	bout	de	bois	</S>
k	0.727909	0.23359	0.020402	0.00791404	0.00858163	0.00132278	0.000280153
y	0.171481	0.763894	0.0265192	0.0071894	0.00710728	0.0217522	0.00205701
é	0.104415	0.81076	0.0267382	0.0170722	0.00657743	0.024999	0.00943883
n	0.229315	0.509975	0.0459221	0.0210619	0.0164075	0.0306888	0.14663
á	0.0785765	0.764593	0.0677018	0.0146012	0.00584497	0.00625812	0.0624249
n	0.415929	0.119238	0.356506	0.0477745	0.0168036	0.00232907	0.041419
d	0.247657	0.508372	0.0482567	0.0249602	0.0166854	0.00711007	0.146959
á	0.0943998	0.751755	0.04547	0.0116078	0.00610681	0.00498913	0.0856718
m	0.211054	0.0399872	0.315679	0.147551	0.127355	0.0419031	0.116472
b	0.100245	0.0311899	0.489964	0.190947	0.100301	0.00905339	0.0782991
e	0.0743481	0.0484185	0.557012	0.184036	0.044744	0.00633095	0.0851108
y	0.0462387	0.0181617	0.518525	0.29604	0.0687475	0.0112576	0.0410299
á	0.0522549	0.0718422	0.215174	0.262009	0.180472	0.0531428	0.165105
i	0.0442373	0.0104417	0.105328	0.268396	0.347853	0.134525	0.089219
b	0.00647997	0.00830249	0.100752	0.324662	0.195937	0.232413	0.131452
v	0.0260479	0.00826194	0.225261	0.328317	0.0749428	0.257782	0.0793862
ú	0.00288189	0.0111394	0.18924	0.473959	0.0738467	0.183918	0.0650154
a	0.0206703	0.00324972	0.0378226	0.301334	0.306281	0.226741	0.103902
</S>	0.000641497	0.000492387	0.013278	0.102934	0.432637	0.166742	0.283276
