 	je	l'	ai	perdu	de	vue	quand	il	a	amorcé	le	virage	</S>
n	0.595078	0.217209	0.0598517	0.0123662	0.0347006	0.0236644	0.0253291	0.0114912	0.0110133	0.0029939	0.0051264	0.000876273	0.000299377
g	0.875773	0.0690985	0.0346538	0.00160551	0.00408642	0.000244288	0.00151049	0.00228261	0.00205586	0.00143594	0.000913208	0.00631651	2.39761e-05
á	0.74898	0.15995	0.0638241	0.00692027	0.00632724	0.000754239	0.00347588	0.00317576	0.00386795	0.00166093	0.000387964	0.000653251	2.23842e-05
í	0.0916987	0.181356	0.160299	0.0621899	0.0651909	0.00920013	0.0382808	0.0361123	0.0427695	0.0192619	0.103026	0.00319682	0.187418
d	0.0158346	0.233481	0.112749	0.27514	0.0488052	0.035025	0.0859857	0.03764	0.0723678	0.0192764	0.0304099	0.000941495	0.0323434
z	0.0629063	0.268736	0.219706	0.229127	0.0308109	0.00889421	0.0229053	0.0265117	0.0286995	0.0173157	0.0248779	0.000515061	0.058994
e	0.156467	0.160209	0.146405	0.390194	0.072877	0.00773697	0.0106565	0.0167742	0.00769102	0.0118387	0.00600121	0.00384616	0.00930306
i	0.0384992	0.0410268	0.222548	0.211268	0.158901	0.0928331	0.031232	0.0247238	0.0282892	0.0188155	0.0557946	0.00869053	0.0673786
b	0.00594976	0.037271	0.0864713	0.303214	0.171942	0.136118	0.0767534	0.0277565	0.0431765	0.0285583	0.0238402	0.00117793	0.0577709
h	0.00434878	0.0353437	0.0268817	0.168857	0.082125	0.514986	0.0483249	0.0300432	0.0526184	0.0142326	0.00872064	0.000656647	0.0128613
i	0.00023111	0.00655699	0.00396497	0.0880555	0.0377894	0.770806	0.0337133	0.00687263	0.0260876	0.00830397	0.0054145	0.000685005	0.0115191
w	0.00301727	0.011167	0.0345058	0.102466	0.134876	0.559554	0.0556514	0.0212478	0.0204575	0.0102547	0.00967797	0.00859734	0.0285275
a	0.00238343	0.00907706	0.0262642	0.0651216	0.160662	0.0831945	0.0987694	0.144301	0.101052	0.0800164	0.0495417	0.00527296	0.174343
o	0.00603768	0.00527425	0.0663746	0.0682873	0.0964121	0.251552	0.247546	0.148776	0.0433099	0.0148025	0.0100624	0.000725944	0.0408397
b	0.00050784	0.00617107	0.00986342	0.0328767	0.0702441	0.237073	0.423565	0.0965679	0.084578	0.0165311	0.00644739	0.000562416	0.0150128
v	0.000357211	0.00936927	0.0118239	0.0619892	0.0782971	0.291983	0.183759	0.0994225	0.170869	0.0355393	0.0229578	0.00300812	0.0306252
ú	0.000117731	0.00186863	0.0025148	0.0345847	0.0258352	0.628772	0.138565	0.0512117	0.0905763	0.0111603	0.00608541	0.000211896	0.00849586
r	0.00192611	0.00221645	0.0143697	0.0270678	0.092482	0.235491	0.297198	0.109323	0.152207	0.0186301	0.0149208	0.00500568	0.0291621
á	0.00129258	0.00260053	0.0105883	0.0331262	0.0927494	0.0227426	0.173761	0.149703	0.235792	0.120547	0.0576134	0.0494506	0.0500336
o	0.00556083	0.00358213	0.0259908	0.0173802	0.0493716	0.0340036	0.2136	0.311551	0.223125	0.0745696	0.016773	0.00148045	0.0230119
t	0.00125505	0.0116728	0.00887814	0.0201508	0.0163989	0.0237811	0.0992329	0.14645	0.392475	0.226059	0.0297065	0.00656634	0.0173729
á	0.000116673	0.00690567	0.0075271	0.024019	0.0188431	0.0058175	0.0819111	0.144852	0.343642	0.237539	0.0449747	0.00865503	0.0751966
a	0.000214222	0.00118509	0.0026832	0.00925742	0.00854956	0.0079452	0.0689597	0.190003	0.223826	0.156661	0.0397627	0.00496184	0.285991
k	0.000632727	0.00124373	0.00341034	0.00450388	0.00935481	0.0111007	0.0449414	0.18912	0.283337	0.360262	0.0624529	0.00984572	0.0197953
a	0.000659312	0.00110631	0.00279489	0.00487473	0.00553749	0.012967	0.028416	0.0605365	0.237042	0.37023	0.13601	0.0144447	0.125381
á	0.00085793	0.000331743	0.00108436	0.0016048	0.00189099	0.00529727	0.0145657	0.0628834	0.131479	0.504031	0.075722	0.0133611	0.186891
m	0.00387478	0.002269	0.0154132	0.0120664	0.00756395	0.00714208	0.022983	0.0409183	0.0631319	0.266293	0.3187	0.0239329	0.215712
ó	0.00287334	0.0312143	0.0132813	0.0327164	0.0472461	0.0188652	0.0168738	0.0488624	0.0762218	0.177883	0.172864	0.0377688	0.32333
n	0.000637303	0.00378319	0.00655414	0.0078126	0.0208721	0.00611778	0.0210752	0.0320169	0.0904857	0.269432	0.285423	0.105638	0.150152
d	0.00626544	0.00690841	0.0194023	0.00661489	0.00723987	0.00101922	0.00738616	0.00956651	0.0384442	0.429164	0.169288	0.256277	0.0424241
i	0.000227736	0.000635391	0.00168548	0.000702261	0.0013703	0.000481632	0.00335474	0.00513747	0.0231259	0.300407	0.194155	0.395708	0.0730083
e	1.14401e-05	5.26452e-05	0.000135851	0.000116321	0.000363136	6.02554e-05	0.00077065	0.00313154	0.00816062	0.101603	0.0681623	0.744715	0.0727175
m	0.000125586	0.000515418	0.000663267	0.00100262	0.00288003	0.00148504	0.00342624	0.00847847	0.0279289	0.0945903	0.352692	0.144297	0.361915
ó	0.000915219	0.00571955	0.00271717	0.00648968	0.0154269	0.00720668	0.00563575	0.0143525	0.0352418	0.123095	0.256476	0.0741106	0.452614
ó	0.000326016	0.0018521	0.00286777	0.00363215	0.0102472	0.00389839	0.0104158	0.0181577	0.0426619	0.116475	0.315286	0.223706	0.250474
k	0.00028917	0.00670076	0.0113292	0.0351383	0.0183061	0.0240339	0.0313924	0.011079	0.0663254	0.101774	0.356186	0.081353	0.256092
a	1.21555e-05	0.000405745	0.000538389	0.00524448	0.0045391	0.0107269	0.0166619	0.00782404	0.0687437	0.082407	0.399091	0.0532676	0.350538
l	1.93133e-05	0.000554554	0.000362019	0.00289009	0.00401338	0.00845748	0.00699111	0.0116744	0.0671045	0.0664631	0.181409	0.101589	0.548472
í	2.40606e-05	6.16274e-05	0.000119024	0.000708444	0.00110324	0.0011228	0.00260392	0.00329072	0.0253713	0.0613239	0.275294	0.213429	0.415548
í	9.79015e-05	0.000137317	0.000712862	0.000846889	0.00144194	0.00266812	0.00501632	0.00828768	0.0263701	0.0674285	0.216991	0.103677	0.566324
w	0.0011188	0.00121283	0.0069563	0.00798408	0.00946729	0.0111451	0.0246615	0.0127238	0.0260835	0.0440413	0.305611	0.109205	0.439789
a	0.00527009	0.00569953	0.0108961	0.0171894	0.0190216	0.0200226	0.0371478	0.0521091	0.0627491	0.0902057	0.308206	0.11355	0.257933
n	0.000291019	0.000322366	0.00074567	0.00101714	0.00240766	0.000760482	0.00348806	0.00488578	0.00920855	0.0618839	0.155614	0.184536	0.57484
g	0.00178895	0.0015805	0.00499397	0.00466919	0.00578699	0.000575133	0.00856875	0.00865377	0.0181723	0.0776525	0.22228	0.435113	0.210165
o	0.00130387	0.000666639	0.00197815	0.000413686	0.0006536	3.81547e-05	0.000789584	0.00186471	0.00410602	0.0411555	0.130131	0.62315	0.193749
l	0.000366404	0.000602268	0.000830589	0.000504281	0.00111768	4.09166e-05	0.000589553	0.00119743	0.00354388	0.043256	0.113899	0.599735	0.234317
o	0.00106891	0.00317519	0.00230977	0.00349909	0.00878625	0.0017192	0.00987003	0.0110997	0.0244838	0.0626027	0.184492	0.222945	0.463949
y	0.0014559	0.00177836	0.00245549	0.00234384	0.00281797	0.000572355	0.00357278	0.00488827	0.0117579	0.0362055	0.19954	0.168716	0.563896
í	0.000285554	0.00208321	0.00512549	0.00781676	0.0112856	0.00148455	0.0125772	0.00998982	0.0301429	0.0558282	0.276193	0.228716	0.358471
b	0.000396121	0.00133204	0.00623363	0.00359559	0.009836	0.0019734	0.00928329	0.014765	0.0236518	0.0653713	0.351812	0.160658	0.351092
v	0.000268874	0.00105088	0.00445549	0.00397441	0.00357053	0.00724552	0.0119897	0.0108253	0.0408599	0.0386816	0.56344	0.0302051	0.283432
ú	0.00326016	0.00241462	0.00692877	0.00616002	0.00892071	0.0108687	0.0078702	0.0124659	0.0399093	0.0822469	0.37255	0.132672	0.313732
n	0.000212199	0.000714855	0.000674925	0.000963541	0.00435469	0.00223401	0.00240255	0.00757434	0.0437361	0.109143	0.210864	0.494023	0.123103
u	0.00384063	0.00119873	0.00126913	0.00178472	0.00550179	0.000909258	0.00469112	0.00546526	0.0192079	0.0567201	0.110184	0.62073	0.168498
</S>	0.0013212	0.0012694	0.00105301	0.00295023	0.00814737	0.0022575	0.00521361	0.0066194	0.0179799	0.0379601	0.248068	0.21259	0.454571
