 	je	n'	aime	pas	porter	des	habits	serrés	</S>
n	0.833401	0.143257	0.00239926	0.0113112	0.00603031	0.00190626	0.000685502	0.000975608	3.3264e-05
g	0.988769	0.0100509	1.56796e-05	0.000262896	0.000855416	2.67425e-05	2.5109e-06	1.60036e-05	1.34392e-06
á	0.975558	0.0172114	0.000113039	0.000730495	0.00595752	0.000139989	7.41425e-05	0.000208922	6.36542e-06
i	0.323627	0.573655	0.00982042	0.0201289	0.0161438	0.0101553	0.00382052	0.00871395	0.0339353
d	0.0304881	0.509901	0.285934	0.0365696	0.014149	0.0117222	0.0461845	0.0247518	0.0403004
i	0.0909729	0.608183	0.157277	0.0314821	0.0523835	0.00935628	0.0161001	0.0043098	0.0299348
í	0.0219829	0.336633	0.336588	0.226091	0.0058003	0.00988882	0.020647	0.00635082	0.0360188
p	0.11162	0.242551	0.436683	0.152452	0.0288484	0.00950682	0.00718863	0.00463006	0.0065201
ó	0.00130337	0.0622666	0.76166	0.0759912	0.00565959	0.0121142	0.0220995	0.0437967	0.0151085
s	0.0015276	0.0403451	0.79496	0.0674272	0.0256198	0.0107983	0.0162308	0.011183	0.0319079
á	0.00222923	0.0705457	0.808215	0.0848012	0.0092257	0.00564046	0.00715795	0.00290379	0.0092808
o	0.0235826	0.0773975	0.377328	0.299872	0.0970637	0.0427284	0.0148839	0.00843653	0.0587072
l	0.00176516	0.0284892	0.360558	0.195419	0.356611	0.013166	0.0349374	0.00623028	0.00282419
á	0.00192982	0.0287677	0.439911	0.162531	0.262675	0.0110324	0.0480348	0.00932615	0.0357919
r	0.00217019	0.0129313	0.547439	0.157541	0.108783	0.0292283	0.0377307	0.0145485	0.089628
á	0.00665597	0.0206265	0.0431419	0.161726	0.616539	0.0489458	0.0187337	0.0118237	0.0718071
i	0.00207881	0.0137617	0.0509491	0.245791	0.256537	0.279947	0.0668456	0.020281	0.0638101
k	0.00336997	0.0112525	0.0249976	0.0902237	0.251989	0.164201	0.325085	0.0852805	0.0436
á	0.00026281	0.00594902	0.0320561	0.0896562	0.0422941	0.0684767	0.495945	0.246675	0.0186852
n	0.0029763	0.00715036	0.119701	0.0449354	0.0534283	0.0437368	0.463016	0.214206	0.0508504
d	0.000905686	0.00379755	0.0174544	0.0782534	0.478677	0.0842974	0.161922	0.0442543	0.130439
á	0.00307569	0.00561417	0.00457923	0.0716237	0.355941	0.146797	0.0702079	0.0494906	0.292671
m	0.000715282	0.00277362	0.00401908	0.0424845	0.069436	0.456358	0.217965	0.0675042	0.138745
a	0.000379826	0.0106747	0.00757955	0.0580545	0.00980441	0.2067	0.281218	0.151155	0.274434
p	0.00192749	0.0030584	0.00895827	0.0275582	0.00928138	0.0833685	0.248983	0.552134	0.0647305
í	0.000484525	0.00410327	0.0135342	0.0243164	0.00373927	0.0358409	0.445965	0.443329	0.0286882
á	0.00026029	0.000600459	0.0244535	0.00499755	0.00646818	0.0226124	0.335669	0.498508	0.10643
k	0.00132345	0.00332996	0.00633247	0.0146497	0.014582	0.085349	0.11505	0.213829	0.545555
a	0.000243832	0.00303928	0.0155308	0.0243844	0.002947	0.0131307	0.154864	0.681632	0.104228
á	0.000385339	0.0012059	0.0144396	0.00739979	0.00405314	0.0252094	0.157687	0.51911	0.27051
</S>	0.00142674	0.00446395	0.00941782	0.0156901	0.0228172	0.0560013	0.0582819	0.139514	0.692387
