 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
e	0.872452	0.126679	0.000138318	0.000110506	0.000300305	0.000299517	1.13623e-05	8.47851e-06	5.78399e-07
w	0.00864246	0.981253	0.00618016	0.0011283	0.00246733	9.40599e-05	4.46663e-05	2.20988e-05	0.000168155
á	0.0569772	0.825288	0.00681026	0.0190923	0.0833398	0.00399273	0.00146407	0.00175787	0.00127799
l	0.0509655	0.757167	0.0695026	0.0214686	0.00470845	0.00358585	0.00366013	0.00347795	0.0854634
á	0.161554	0.760823	0.033407	0.0095812	0.00866016	0.00389021	0.000924439	0.00322893	0.0179312
é	0.27354	0.00908056	0.624965	0.0713201	0.00780349	0.00797407	0.0023877	0.000684749	0.00224372
b	0.00437085	0.0102305	0.572131	0.366903	0.0402684	0.0021379	0.00173767	0.000394958	0.00182525
o	0.00165088	0.00718173	0.119078	0.403863	0.42747	0.0201068	0.0086741	0.00418729	0.00778815
n	0.00786766	0.00308391	0.107347	0.21688	0.642566	0.0115781	0.00214913	0.000520186	0.00800759
d	0.14336	0.0138192	0.128542	0.309715	0.340629	0.0408931	0.00696924	0.00471764	0.0113551
z	0.171781	0.00583954	0.140737	0.26475	0.228466	0.120634	0.0355961	0.0143673	0.0178304
í	0.16488	0.023308	0.0610597	0.172246	0.337382	0.149433	0.023982	0.0376075	0.0301012
m	0.0159818	0.000516041	0.064445	0.136508	0.0516281	0.400701	0.209155	0.111355	0.00971041
í	0.00219768	9.95108e-05	0.00280426	0.00548747	0.00838893	0.124436	0.435127	0.231783	0.189676
</S>	0.00228038	0.000253087	0.00382485	0.00365936	0.00326212	0.0286907	0.21267	0.678945	0.0664135
