 	cet	homme	est	malade	</S>
i	0.687042	0.307041	0.00517797	0.000642714	9.5896e-05
b	0.323579	0.646131	0.0208284	0.00852208	0.000939995
a	0.1349	0.842564	0.0020486	0.0196031	0.00088485
a	0.197919	0.721842	0.00449539	0.0314526	0.0442911
d	0.364793	0.176725	0.205553	0.00812468	0.244804
í	0.0525515	0.160928	0.37403	0.0109058	0.401585
í	0.0250805	0.100285	0.539365	0.0153273	0.319943
d	0.0145626	0.02003	0.788074	0.0972505	0.0800826
i	0.00295609	0.00690679	0.436811	0.0236018	0.529724
n	0.00388078	0.00632538	0.438729	0.245827	0.305238
d	0.0120316	0.0181539	0.215071	0.133181	0.621563
z	0.00939199	0.0145113	0.188538	0.280457	0.507102
ó	0.0352094	0.0734231	0.0577682	0.404931	0.428668
r	0.0598015	0.0114028	0.0220057	0.379373	0.527417
o	0.0524256	0.0251451	0.0367003	0.203381	0.682348
l	0.0256259	0.015554	0.152624	0.07402	0.732176
a	0.00589941	0.00675011	0.201939	0.326963	0.458449
b	0.00966134	0.00444347	0.202567	0.407187	0.376141
v	0.032037	0.0651063	0.308608	0.432584	0.161665
ú	0.00367194	0.00340094	0.0109739	0.933206	0.0487473
a	0.0185622	0.00320784	0.0360184	0.747602	0.19461
</S>	0.00249213	0.00215521	0.176959	0.123244	0.69515
