 	je	m'	en	vais	rester	avec	le	malade	pour	le	détendre	</S>
n	0.767853	0.0877213	0.0598424	0.0189506	0.00373574	0.00217422	0.00754674	0.0323007	0.00522833	0.0127594	0.00179687	9.10054e-05
g	0.832896	0.161242	0.00419408	0.000765146	1.37323e-05	0.000106044	0.00024081	8.87908e-05	0.000120045	0.00021631	9.56389e-05	2.13362e-05
á	0.948029	0.0377486	0.00647999	0.00579799	0.000134608	5.99774e-05	0.000141696	0.000180096	3.89448e-05	5.7072e-05	0.00130395	2.82468e-05
í	0.0617517	0.403931	0.206983	0.0857294	0.0237586	0.0207491	0.0170639	0.00501439	0.0200756	0.0179158	0.0117498	0.125278
m	0.0147482	0.0979568	0.580008	0.253769	0.0222057	0.00680284	0.00373379	0.00356431	0.00298747	0.00159226	0.00226376	0.0103684
o	0.000267091	0.0258597	0.683313	0.121677	0.0702669	0.0235145	0.0102829	0.00241244	0.0108685	0.0100613	0.00599497	0.0354819
d	0.000170558	0.00398114	0.157976	0.758104	0.0590609	0.00206551	0.00111892	0.00146829	0.00103226	0.000279093	0.00627608	0.00846755
z	0.000639281	0.00505219	0.251482	0.497081	0.218431	0.00182844	0.00118702	0.00369678	0.000641148	4.61349e-05	0.00213333	0.0177814
w	0.0264226	0.0136437	0.0664175	0.84426	0.0470719	0.000500937	0.00020706	7.16583e-05	7.63256e-05	3.28755e-05	0.000128249	0.00116709
á	0.0118584	0.0222801	0.190449	0.337818	0.151594	0.0723178	0.0255232	0.00154223	0.0205011	0.00630597	0.00057681	0.159233
o	0.00632989	0.13573	0.170983	0.148605	0.214344	0.151844	0.0766052	0.0083091	0.0195823	0.0408117	0.00230249	0.0245528
m	0.000138181	0.00382345	0.0306647	0.151484	0.704726	0.0299807	0.0133645	0.0297643	0.00182838	0.000469788	0.0266068	0.00714896
ω	0.000260295	0.00248494	0.0075742	0.0643943	0.724974	0.0426784	0.0239817	0.0067579	0.00394203	0.00333787	0.0589374	0.0606773
ω	1.20365e-05	0.000437396	0.00616335	0.0257056	0.800534	0.0422614	0.0253908	0.0237187	0.00399543	0.0024253	0.0350543	0.0343013
s	0.000150631	0.00291974	0.00988679	0.00965525	0.116931	0.176268	0.229233	0.215534	0.0360582	0.0579577	0.0978817	0.0475237
ώ	0.000105047	0.00581351	0.021615	0.014584	0.0718074	0.0929819	0.131962	0.148199	0.0850655	0.0575302	0.0765628	0.293773
o	0.00188086	0.0104162	0.00485661	0.00127165	0.0146533	0.139744	0.224767	0.128242	0.0651179	0.16364	0.042557	0.202854
k	5.93568e-05	0.000741919	0.00671907	0.00738179	0.0557027	0.0502324	0.100685	0.442182	0.0468407	0.0155826	0.180305	0.0935668
ω	5.85309e-06	1.83159e-05	0.000566648	0.00185644	0.00601944	0.00278475	0.0146338	0.887548	0.0104044	0.00265717	0.0513508	0.0221544
n	1.51483e-07	2.81235e-06	7.6803e-05	0.000184151	0.00282173	0.00171708	0.00631647	0.726159	0.00443634	0.001907	0.246497	0.00988134
í	2.73463e-05	0.000142317	0.000385152	0.00181564	0.00558374	0.0206672	0.0572802	0.528502	0.0820802	0.0122141	0.0920318	0.19927
</S>	0.000114278	0.00082894	0.000613279	0.000223409	0.000882728	0.0205719	0.0575389	0.0452154	0.453518	0.15783	0.0102778	0.252385
