 	il	a	embrassé	sa	femme	avant	d'	aller	en	voyage	</S>
w	0.723298	0.251633	0.00734908	0.0116371	0.0011586	0.000333546	0.00360047	0.000154244	0.000715178	8.23273e-05	3.93619e-05
a	0.686515	0.260671	0.00606998	0.0360165	0.00234201	0.000644626	0.00608727	0.00016598	0.000476506	0.00100524	6.06676e-06
á	0.187264	0.674498	0.0663556	0.0473924	0.00520797	0.00331618	0.0124444	0.000708623	0.00207485	0.00037876	0.000359118
m	0.0306906	0.332392	0.429202	0.0236597	0.0606211	0.0799395	0.0100756	0.0046239	0.00916846	0.00435741	0.0152705
u	0.00262276	0.0476981	0.617091	0.0749868	0.232819	0.0145628	0.00138465	0.000547584	0.00235018	0.00116557	0.00477228
u	0.00154031	0.0277177	0.796527	0.0212581	0.137518	0.00808844	0.00049009	0.00390713	0.00033554	0.00061881	0.00199933
m	0.00934488	0.134151	0.316573	0.243379	0.0903597	0.0695262	0.0259539	0.0148427	0.0211368	0.0198665	0.0548655
u	0.00139977	0.0111471	0.293307	0.100126	0.570746	0.013389	0.00193535	0.00179614	0.00182269	0.00269745	0.00163324
m	0.00422538	0.0284771	0.580981	0.0785928	0.272404	0.00828676	0.00299155	0.012039	0.00155789	0.00242328	0.00802129
w	0.00597796	0.0237264	0.101632	0.46498	0.135635	0.156481	0.0256063	0.00497034	0.0192395	0.00780333	0.053948
á	0.0167733	0.0317188	0.13357	0.267182	0.181227	0.185401	0.0559696	0.0123419	0.0130804	0.0400502	0.0626852
s	0.059894	0.116021	0.011213	0.672745	0.0166805	0.01286	0.0283539	0.000852273	0.0151598	0.00871259	0.057508
í	0.0208728	0.0662489	0.234017	0.189559	0.0676727	0.0411964	0.0125097	0.0112957	0.00518856	0.0525746	0.298864
o	0.0330938	0.113794	0.0319715	0.307024	0.0352333	0.172718	0.191125	0.0251724	0.0425984	0.00957966	0.0376909
b	0.000273541	0.00362062	0.012361	0.0147983	0.0203985	0.827346	0.0228533	0.0935865	0.00155597	0.00148862	0.0017173
o	0.00016524	0.00237109	0.0157828	0.0117798	0.00684444	0.827933	0.0189379	0.100592	0.00205836	0.00900588	0.00452951
s	5.45709e-05	0.00069483	0.0215695	0.0193181	0.00923494	0.807158	0.0339703	0.0841728	0.00648715	0.00525826	0.0120816
ó	0.000383806	0.00308451	0.00138002	0.100505	0.000409117	0.390216	0.29701	0.124511	0.0262194	0.00742127	0.0488601
b	0.00172624	0.00801397	0.00101928	0.17255	0.00053527	0.086306	0.464047	0.0339591	0.176332	0.0064059	0.0491049
í	0.0315751	0.0135404	0.000825631	0.062561	0.000315168	0.0222287	0.231388	0.0534326	0.0952769	0.1524	0.336457
d	0.0102921	0.0078086	0.000151707	0.0532912	4.94437e-05	0.00439419	0.242507	0.112984	0.0818766	0.24105	0.245595
z	0.00210035	0.00711843	0.00628145	0.0446134	0.00119629	0.0355227	0.127069	0.168784	0.0290382	0.37095	0.207326
w	0.000317005	0.00131384	0.00169379	0.0161113	0.000614632	0.02184	0.112602	0.436903	0.0842612	0.226127	0.0982162
a	0.000663413	0.00178046	0.00318762	0.0178495	0.000844829	0.0198211	0.0885835	0.379132	0.119447	0.241549	0.127141
l	0.0004734	0.000305593	0.000984498	0.00250129	0.0002947	0.00450383	0.0251681	0.249544	0.0573089	0.125138	0.533778
í	0.000329158	0.000506995	0.000822496	0.00706376	6.43463e-05	0.00393648	0.0691816	0.178122	0.127789	0.290797	0.321387
b	0.00286138	0.00468251	0.000417171	0.0143211	7.27664e-05	0.00239645	0.115469	0.0670991	0.48824	0.123801	0.180639
h	0.00604912	0.003088	0.000339947	0.00814462	5.88195e-05	0.00421621	0.0623903	0.0269664	0.117291	0.522663	0.248792
é	0.00150759	0.000652585	0.000128885	0.003078	2.57004e-05	0.00111275	0.0147458	0.00998284	0.0288153	0.73985	0.2001
m	2.51308e-05	7.10398e-05	1.58519e-05	0.00051701	2.19164e-06	0.00128763	0.0266387	0.0344673	0.192661	0.409718	0.334596
b	0.00145635	0.0016471	0.00108507	0.00816814	0.000243466	0.000574047	0.0160933	0.0807361	0.298757	0.370482	0.220758
a	0.00150534	0.00120983	0.000653427	0.0129638	6.40425e-05	0.0010145	0.0276846	0.0217903	0.108844	0.685008	0.139262
</S>	0.000825306	0.00170311	0.000477628	0.00915869	3.63892e-05	0.00432462	0.0426232	0.0960039	0.141738	0.187835	0.515275
