 	avant	la	fin	de	la	tornade	l'	arc-en-ciel	est	apparu	</S>
o	0.947055	0.0450463	0.000999119	0.00431292	0.00162603	0.000228146	0.000410499	0.000192314	6.43685e-05	5.23088e-05	1.32494e-05
b	0.988835	0.00901703	0.000765838	0.000248034	0.000150537	0.000152673	0.000122999	0.000398735	3.44438e-05	6.80421e-05	0.000206632
ó	0.983668	0.00883681	0.00347592	0.00108508	0.00106573	0.00049942	0.0003564	0.000452715	5.89944e-05	0.000110613	0.000390139
s	0.971517	0.0171951	0.00195231	0.00190465	0.00112708	0.000875516	0.000904875	0.0013933	0.000249751	0.000113387	0.00276747
ó	0.712097	0.175622	0.0109179	0.0140647	0.011636	0.00510819	0.00707888	0.0130791	0.0067126	0.0122419	0.031442
b	0.0622066	0.731392	0.0592447	0.0310216	0.0257351	0.0171364	0.0152295	0.00378101	0.0173499	0.00129391	0.0356095
á	0.0273724	0.179016	0.1778	0.102435	0.0897663	0.036358	0.0749272	0.0190987	0.0424011	0.0152599	0.235565
o	0.00651746	0.448023	0.122648	0.119522	0.0653334	0.0208417	0.0452252	0.0133782	0.031226	0.0176903	0.109596
s	0.0106626	0.145222	0.746164	0.0486575	0.0270405	0.00656594	0.00248825	0.00641476	0.0015636	0.000572487	0.00464839
í	0.0469552	0.0395545	0.77129	0.0377352	0.0292215	0.0377273	0.00673177	0.00825828	0.00200317	0.0032124	0.0173111
í	0.00282836	0.0553193	0.400119	0.0801419	0.0434797	0.0342632	0.0163394	0.00855251	0.0080604	0.0083274	0.342569
l	0.000666687	0.0682148	0.409379	0.362175	0.0830799	0.0278463	0.0194901	0.00247587	0.0101891	0.00284514	0.0136375
i	0.000570922	0.0233127	0.441694	0.25076	0.130909	0.0482241	0.0305303	0.00739557	0.00835471	0.00353427	0.0547133
m	0.00064588	0.0214206	0.114521	0.446225	0.198998	0.112891	0.0483903	0.0105507	0.0100989	0.00533134	0.030928
á	0.00291411	0.0092014	0.029468	0.275729	0.29035	0.280934	0.0381487	0.0148346	0.00406325	0.00267913	0.0516775
m	0.00119327	0.0175012	0.0266377	0.282455	0.32726	0.178875	0.0702509	0.0448481	0.0158205	0.0111449	0.0240128
b	0.000749264	0.00514123	0.0164081	0.157052	0.392487	0.277719	0.0575076	0.0424911	0.012035	0.00534526	0.033064
v	0.00279682	0.0037177	0.00986369	0.161502	0.400693	0.249624	0.0617339	0.0712496	0.00440258	0.00894163	0.0254755
ú	0.00272965	0.00670375	0.0143897	0.145769	0.245441	0.203749	0.141356	0.0574582	0.00939777	0.0212338	0.151772
á	0.000626049	0.00881306	0.0434017	0.0860255	0.306996	0.206235	0.125718	0.0918264	0.0062998	0.0131501	0.110909
o	0.000198752	0.00675784	0.0127004	0.0615025	0.112768	0.308502	0.372049	0.0671098	0.0325836	0.00400877	0.0218197
k	0.00230334	0.00540115	0.0173426	0.0132198	0.0485926	0.111255	0.09796	0.644062	0.0316874	0.021478	0.00669839
u	0.00336158	0.00244423	0.0066138	0.00523805	0.0201367	0.00738335	0.0147857	0.833619	0.0149664	0.0728307	0.0186208
m	0.00200468	0.000542555	0.00452888	0.00800769	0.0295284	0.0172552	0.0184384	0.795531	0.00742283	0.049792	0.066948
a	0.000399891	0.00342591	0.00664007	0.056457	0.111169	0.114162	0.285679	0.257914	0.0438392	0.047498	0.0728164
m	0.000124958	0.00232704	0.00566186	0.0128064	0.0270655	0.0856861	0.253386	0.123746	0.194398	0.0227642	0.272034
b	0.000338731	0.0031206	0.00190349	0.0169786	0.0219638	0.0672307	0.109152	0.144661	0.271359	0.0907593	0.272533
o	0.000791443	0.000647416	0.00130789	0.0167289	0.033929	0.0977751	0.182097	0.312618	0.0751724	0.0792103	0.199723
l	0.000879621	0.000978002	0.00198014	0.012422	0.0237478	0.0308473	0.0379755	0.634475	0.0735951	0.0919514	0.0911482
o	0.000662995	0.00295986	0.00782006	0.0139364	0.0290883	0.0355332	0.100425	0.527813	0.0916911	0.0478131	0.142257
ó	4.75549e-05	0.0017708	0.00440255	0.00659187	0.0118157	0.0484922	0.125691	0.108193	0.350048	0.0433317	0.299616
p	0.00439855	0.0122266	0.0428898	0.018541	0.028211	0.0476353	0.0491054	0.0784729	0.460627	0.157471	0.100422
f	0.000283905	0.00123262	0.0103635	0.00456463	0.0113451	0.00484688	0.0146106	0.235211	0.148673	0.47127	0.0975997
ú	0.00142555	0.00234144	0.0100999	0.00763458	0.0149769	0.00822396	0.0259459	0.201177	0.105139	0.454538	0.168497
u	0.000152523	0.000358206	0.000752152	0.00311955	0.00549737	0.0116365	0.0321425	0.058472	0.085563	0.615868	0.186438
</S>	2.6893e-05	0.000514282	0.00154182	0.00374957	0.00633119	0.0148541	0.0531546	0.037766	0.359026	0.166539	0.356497
