 	le	féticheur	a	reconnu	son	innocence	</S>
n	0.535726	0.448648	0.0107156	0.00211725	0.00256938	5.66116e-05	0.000166792
g	0.21213	0.785868	0.00163917	9.17466e-05	0.00022989	2.81541e-05	1.23546e-05
a	0.0291089	0.970029	0.000554163	0.000133289	6.34041e-05	0.000107357	3.73526e-06
n	0.183268	0.784197	0.0166492	0.00551109	0.0034425	0.00445392	0.00247895
g	0.47864	0.443479	0.0260809	0.0210317	0.00732387	0.00110106	0.0223429
a	0.366462	0.580824	0.0197678	0.0117579	0.00332154	0.00471915	0.0131475
á	0.0229726	0.00838125	0.907127	0.0239803	0.0205835	0.00394536	0.0130099
k	0.0161368	0.0104607	0.278817	0.594649	0.0438074	0.03068	0.0254494
y	0.000942252	0.000634884	0.0249666	0.946259	0.0128059	0.00707413	0.00731672
έ	0.0386121	0.00175107	0.0154413	0.931989	0.00824198	0.00229447	0.00166991
m	0.190375	0.00881885	0.139976	0.505213	0.0816876	0.0428177	0.0311123
b	0.0149732	0.000891813	0.0776658	0.096398	0.542726	0.0605916	0.206753
i	0.111517	0.00459636	0.0543877	0.24268	0.509485	0.027491	0.0498419
w	0.0968731	0.00603236	0.208897	0.0280188	0.47943	0.0688443	0.111904
á	0.0422951	0.0030621	0.0863741	0.139688	0.527833	0.0727943	0.127954
l	0.0210552	0.00222311	0.060535	0.00803449	0.312679	0.291184	0.304289
e	0.00132357	8.59376e-05	0.0104425	0.0187646	0.18573	0.36057	0.423084
f	0.000314816	1.09054e-05	0.00236529	0.00311386	0.0270013	0.669097	0.298097
u	0.000885546	7.51739e-05	0.00786454	0.0321391	0.111914	0.688331	0.158791
r	0.000372185	1.32483e-05	0.00126569	0.00782077	0.0120151	0.288414	0.690099
u	0.00138414	0.000197557	0.00192904	0.03649	0.0337484	0.590422	0.335828
</S>	0.0845192	0.0021743	0.0614511	0.0113372	0.190723	0.113647	0.536149
