 	il	n'	a	pas	d'	autres	vêtements	</S>
w	0.483808	0.105012	0.0676303	0.0871321	0.109584	0.13592	0.0092111	0.00170125
a	0.572223	0.136902	0.0349455	0.069782	0.116088	0.0636477	0.00621385	0.000197906
a	0.13185	0.551886	0.146088	0.0825844	0.0521935	0.0129661	0.00523834	0.0171936
d	0.0431283	0.281873	0.324859	0.103301	0.0742473	0.0870915	0.0261112	0.0593888
í	0.00723417	0.158699	0.433034	0.158923	0.0580059	0.021985	0.0221864	0.139932
i	0.0141265	0.0644857	0.21254	0.21994	0.134574	0.125359	0.0605942	0.168381
k	0.0117751	0.0549777	0.194026	0.199024	0.21089	0.0633175	0.103223	0.162766
á	0.00119741	0.0152066	0.107684	0.2087	0.317191	0.100632	0.169257	0.0801322
n	0.0154445	0.0214067	0.0885797	0.134267	0.294901	0.303772	0.11113	0.0304992
d	0.179931	0.15769	0.231024	0.185134	0.158285	0.0131396	0.0278849	0.0469099
á	0.215299	0.250289	0.120099	0.0893607	0.060671	0.00280901	0.026839	0.234633
i	0.0446507	0.0979232	0.192805	0.259836	0.174897	0.0876356	0.0665299	0.0757219
s	0.00576611	0.0178013	0.0606661	0.132209	0.159603	0.119293	0.398012	0.106649
ú	0.00325089	0.0292965	0.0614184	0.128738	0.0966089	0.0229897	0.357146	0.300551
s	0.000300276	0.00566197	0.0287007	0.194376	0.118832	0.00924134	0.520404	0.122484
u	0.0059431	0.0152728	0.0489383	0.327507	0.241486	0.0203073	0.215496	0.12505
k	0.00578289	0.0269781	0.0630389	0.189627	0.196602	0.103848	0.119734	0.294388
a	0.000865475	0.00556864	0.017692	0.0868222	0.105112	0.122906	0.56572	0.0953141
á	0.000232956	0.00163056	0.00547781	0.0231124	0.0344622	0.0515257	0.277041	0.606517
</S>	0.00378425	0.00571957	0.0164365	0.0161329	0.0158636	0.0210882	0.0529014	0.868073
