 	je	prends	le	remède	</S>
n	0.807727	0.113562	0.0329461	0.0414107	0.00435489
g	0.996608	0.000899515	0.000757958	0.00157233	0.000162247
á	0.980553	0.0147682	0.00221983	0.00221671	0.00024223
l	0.179961	0.2604	0.267927	0.144671	0.14704
í	0.548994	0.0457438	0.0455351	0.155122	0.204605
i	0.180509	0.132287	0.176265	0.293479	0.21746
n	0.00829731	0.870975	0.077147	0.0156021	0.0279781
y	0.0872379	0.804504	0.0624068	0.0126199	0.033231
w	0.0722082	0.723119	0.143045	0.034062	0.0275661
á	0.0118915	0.336838	0.292786	0.139774	0.218711
á	0.00285252	0.0965199	0.341931	0.300911	0.257786
o	0.0593798	0.0323418	0.324121	0.52454	0.0596175
k	0.000713719	0.0367606	0.26005	0.622786	0.0796905
y	0.000251661	0.10671	0.272418	0.51183	0.10879
ε	0.00183963	0.248233	0.161728	0.419842	0.168358
m	0.000634385	0.0963954	0.270639	0.355198	0.277134
i	0.000682556	0.0383529	0.107069	0.0707432	0.783153
</S>	0.00260792	0.00549097	0.0653915	0.0631152	0.863394
