 	ondongo	est	parti	récolter	le	vin	de	palme	dans	la	forêt	</S>
o	0.943341	0.0512227	0.00111062	0.000486083	0.00332682	2.93422e-05	0.000231376	3.06849e-05	3.99979e-05	0.00013827	4.078e-05	2.4497e-06
n	0.817547	0.14685	0.0242619	0.00875273	0.000441123	0.000141041	0.000225952	0.000178758	0.000219819	0.000214349	0.000262368	0.000904862
d	0.906929	0.0290449	0.0109235	0.0308647	0.00578103	0.00348263	0.00221733	0.00337408	0.00301123	0.00173098	0.000651329	0.00198901
o	0.926046	0.0139877	0.0131625	0.0446904	0.0003541	0.0004799	9.2744e-05	0.000259553	0.00013393	3.91663e-05	2.72578e-05	0.0007267
n	0.876621	0.0169007	0.0284676	0.0667126	0.00321554	0.00304309	0.000598833	0.00112973	0.00083146	0.000399164	0.000767708	0.00131328
g	0.455886	0.180336	0.0963077	0.0738308	0.0333285	0.0242682	0.00801898	0.00781192	0.00918829	0.00745622	0.00375773	0.0998093
o	0.817158	0.0668417	0.0305016	0.051786	0.010884	0.0050936	0.0020358	0.00228486	0.00223116	0.00102906	0.000513798	0.00964052
l	0.0124777	0.439772	0.268861	0.0626511	0.0971113	0.0518514	0.0235664	0.0116711	0.00695289	0.0105811	0.000926603	0.0135776
á	0.0103255	0.176612	0.136919	0.149918	0.102397	0.0525832	0.0530786	0.0400455	0.0229455	0.031591	0.00912012	0.214465
a	0.00341057	0.325249	0.125996	0.0898865	0.314464	0.0575502	0.0310258	0.0134661	0.00679394	0.0112286	0.00508432	0.0158448
s	0.00122594	0.0177254	0.228709	0.676005	0.011826	0.0472269	0.00288502	0.00706096	0.00221972	0.000434522	0.000769994	0.003912
é	0.000254272	0.00240971	0.0987308	0.886582	0.00169913	0.00646265	0.000390562	0.00155205	0.000838394	0.000115031	3.0757e-05	0.000934094
b	0.00136855	0.0302403	0.298417	0.470767	0.0346286	0.0194454	0.0183438	0.0364794	0.0309268	0.00775624	0.00100789	0.0506197
h	0.000358228	0.0206872	0.0526309	0.531525	0.172554	0.0687707	0.0676282	0.0334996	0.0197608	0.00656378	0.0103677	0.0156537
á	0.00565069	0.0226229	0.0385579	0.272452	0.119224	0.0236476	0.0480171	0.0427155	0.0567707	0.0418578	0.0430773	0.285407
o	0.000329468	0.00732113	0.0130399	0.0339305	0.436291	0.138185	0.260194	0.0744359	0.0137936	0.0119089	0.00237992	0.00819142
l	0.00220493	0.00522947	0.0196404	0.152268	0.0212878	0.388206	0.0856821	0.231325	0.0718509	0.00646536	0.0102025	0.00563763
έ	0.00292888	0.0158562	0.0356085	0.176422	0.0133924	0.25331	0.0907744	0.291922	0.0993221	0.00622827	0.00346784	0.0107678
n	6.53538e-06	0.000503092	0.00578349	0.0154598	0.0250737	0.131014	0.154971	0.371168	0.130419	0.0281412	0.00140264	0.136057
g	0.00298486	0.00317284	0.00188537	0.00931045	0.0960493	0.0833727	0.218066	0.260572	0.117033	0.0662959	0.0649568	0.0763012
έ	0.00282365	0.00746249	0.00333123	0.0195684	0.475171	0.0765951	0.17519	0.108419	0.0277609	0.0550418	0.0153292	0.0333068
s	0.000417396	0.000577409	0.00027711	0.00036261	0.0102199	0.00270382	0.103804	0.172166	0.31006	0.2547	0.0633492	0.0813617
á	0.000200696	0.000803914	0.00209296	0.010953	0.00883865	0.00987754	0.0495989	0.239392	0.309549	0.163082	0.0350808	0.170531
k	0.00076338	0.00168688	0.00090733	0.00358754	0.0116001	0.00737918	0.0248612	0.0350605	0.0747954	0.146404	0.670085	0.0228695
ώ	3.12901e-05	7.9565e-05	2.68824e-05	0.000241571	0.000550399	0.000502248	0.00127588	0.00487093	0.0228996	0.0090702	0.956388	0.00406305
</S>	7.03267e-06	8.45333e-06	1.41655e-05	0.00012578	0.0020796	0.00253936	0.00518564	0.00851902	0.0333625	0.0302358	0.894594	0.0233283
