 	il	est	en	train	de	se	gratter	le	flanc	</S>
w	0.627152	0.205123	0.0837759	0.0691353	0.0114745	0.00119147	0.000219624	0.00142687	0.000334895	0.000166242
a	0.492908	0.19069	0.117549	0.167185	0.0284239	0.000796664	0.000111071	0.00204718	0.000210226	7.86613e-05
b	0.107487	0.393503	0.286787	0.117298	0.0784429	0.00628102	0.000232986	0.00389705	0.000350563	0.00571976
ó	0.0391579	0.202983	0.186295	0.339701	0.12819	0.0907762	0.00541111	0.000858525	5.43158e-05	0.00657303
l	0.0385918	0.081631	0.146597	0.452612	0.129708	0.109951	0.00645977	0.00393172	0.00124895	0.0292683
á	0.260675	0.154018	0.172991	0.179451	0.0683499	0.0583015	0.00440672	0.0108222	0.00927734	0.0817074
a	0.101012	0.118678	0.240669	0.0841027	0.19486	0.182835	0.0130928	0.0116713	0.0266014	0.0264777
b	0.0279242	0.0794845	0.0993559	0.0404517	0.174826	0.333655	0.205295	0.0139275	0.00658629	0.018494
h	0.00915326	0.0521338	0.0355096	0.0077428	0.02584	0.140323	0.715098	0.00738624	0.000328349	0.00648509
a	0.00125082	0.0123831	0.0083431	0.0018159	0.0032064	0.0675082	0.896579	0.0043717	0.000720744	0.00382099
a	0.00421003	0.0203911	0.038612	0.0101335	0.039494	0.275196	0.565302	0.0202344	0.00797332	0.018453
g	0.000706025	0.00224478	0.00868255	0.000616977	0.0160142	0.027696	0.241695	0.466616	0.0317875	0.203941
h	0.00268425	0.00729473	0.0135764	0.000571773	0.0132172	0.0160786	0.143987	0.386634	0.0418577	0.374098
á	0.00784808	0.0188385	0.0331048	0.00227052	0.0456685	0.0198838	0.0553888	0.387956	0.107589	0.321452
e	0.00177527	0.00228433	0.00577391	0.00121671	0.00678348	0.00470397	0.0100593	0.484449	0.387681	0.0952733
n	0.00122685	0.00238643	0.00354889	0.000884565	0.00255909	0.00605828	0.133028	0.0715756	0.702268	0.0764643
ε	0.000271579	0.00102085	0.00144281	0.000781317	0.00106756	0.000448318	0.0013674	0.0095804	0.93737	0.04665
n	0.000730559	0.00138828	0.00288147	0.000960657	0.00588519	0.00159933	0.00208192	0.0602177	0.419186	0.505069
i	0.000165964	0.000572162	0.000672642	9.16953e-05	0.000643659	0.000564426	0.00291702	0.0488142	0.781883	0.163676
</S>	0.00092385	0.00155657	0.00368397	0.00043306	0.00597833	0.00334888	0.000839732	0.128035	0.161959	0.693242
