 	les	bagages	étaient	lourds	</S>
a	0.824889	0.159529	0.0148011	0.000267622	0.000512825
p	0.511694	0.407407	0.0317044	0.0455206	0.00367399
ε	0.138576	0.695913	0.0349479	0.0596033	0.0709598
n	0.24136	0.326291	0.103303	0.0750334	0.254012
g	0.398152	0.551552	0.0289848	0.00197973	0.0193319
ε	0.309261	0.593711	0.0203336	0.00154098	0.0751524
m	0.241988	0.297067	0.414928	0.00376976	0.0422464
á	0.380264	0.267914	0.315136	0.00304388	0.0336424
a	0.55866	0.210068	0.214411	0.00701177	0.00985014
b	0.166018	0.135058	0.500996	0.0912546	0.106674
h	0.146881	0.190898	0.377021	0.116781	0.168419
é	0.156111	0.274488	0.229851	0.0579435	0.281606
m	0.0586143	0.215402	0.451759	0.0706108	0.203615
b	0.132739	0.244629	0.398448	0.0807793	0.143404
i	0.0753377	0.288833	0.144303	0.0592074	0.432319
á	0.056695	0.0978543	0.451709	0.0325013	0.361241
d	0.0125127	0.00971449	0.176719	0.393697	0.407357
z	0.00649832	0.00327699	0.10679	0.2325	0.650935
á	0.00844779	0.00649391	0.233321	0.62424	0.127497
l	0.00801319	0.00521731	0.199817	0.0761894	0.710763
a	0.00448421	0.0050045	0.0370593	0.0486188	0.904833
o	0.048179	0.0352054	0.131651	0.162375	0.622589
d	0.0113702	0.0377852	0.0471835	0.723866	0.179795
u	0.0101026	0.00914098	0.083954	0.754863	0.14194
r	0.0389308	0.0205651	0.303232	0.0754402	0.561832
u	0.0730801	0.0407877	0.337338	0.039595	0.509199
</S>	0.00334414	0.0035055	0.0444258	0.00973048	0.938994
