 	la	manière	dont	il	m'	a	brimé	dans	le	partage	du	gibier	montre	qu'	il	est	avide	</S>
e	0.170589	0.26307	0.234794	0.0568893	0.0322182	0.0166832	0.0165739	0.0302133	0.0402107	0.0282251	0.0276307	0.0348237	0.0170152	0.00379585	0.00760031	0.00725596	0.00146902	0.0109425
k	0.00658529	0.012404	0.0877724	0.0403791	0.0459766	0.095378	0.110619	0.119355	0.0946129	0.0726024	0.104156	0.0622424	0.0307276	0.00620247	0.010389	0.0170585	0.0661177	0.0174211
y	0.0203989	0.00115803	0.00610698	0.0140823	0.0126494	0.04636	0.147909	0.147139	0.0916439	0.223626	0.0669669	0.017731	0.038845	0.0196322	0.0145245	0.0047238	0.123075	0.00342791
e	0.00131584	0.00261143	0.0488268	0.00895413	0.00826122	0.0574155	0.178544	0.144214	0.0677661	0.245272	0.113501	0.00653369	0.0356347	0.00892005	0.0113076	0.00738807	0.0444934	0.00904069
l	0.00456417	0.0108088	0.0266352	0.0154383	0.0259445	0.0619615	0.12486	0.292709	0.136855	0.133652	0.074356	0.0277329	0.0172284	0.00378791	0.00352607	0.0130912	0.0109563	0.0158933
í	0.0188781	0.0152994	0.0518304	0.0125806	0.0249465	0.0907735	0.136836	0.129784	0.0486455	0.0504404	0.0813927	0.0143997	0.0165187	0.0116132	0.00917891	0.00581385	0.00614533	0.274923
í	0.0286513	0.0277506	0.0765779	0.106215	0.0937267	0.104177	0.059421	0.0790237	0.0784235	0.043216	0.0526128	0.0269596	0.0332141	0.056054	0.0377366	0.0301925	0.00396775	0.0620802
l	0.0270878	0.0105101	0.0711199	0.0338789	0.0709312	0.124195	0.0917046	0.0667959	0.0684666	0.106628	0.0639789	0.010815	0.0307429	0.0327498	0.043957	0.0402355	0.0138532	0.0923498
í	0.0196559	0.01736	0.0724899	0.0836955	0.0325598	0.0482858	0.038031	0.03841	0.0291738	0.0823849	0.0487556	0.011192	0.0251169	0.0289556	0.0373512	0.0724682	0.0122241	0.301889
y	0.0227869	0.0613254	0.227556	0.17368	0.0493883	0.027146	0.0254641	0.0537556	0.064083	0.0816839	0.0312414	0.0478362	0.0273772	0.019163	0.014317	0.0218036	0.00418043	0.0472122
é	0.00342319	0.00863832	0.255458	0.062362	0.0447923	0.0293657	0.0380074	0.0248018	0.0379352	0.152618	0.0558354	0.0923708	0.055775	0.0456668	0.0204627	0.0109534	0.00379095	0.0577422
é	0.0210103	0.0245074	0.187003	0.0859654	0.0871955	0.0496064	0.0487094	0.0367151	0.0604926	0.171295	0.0381015	0.092511	0.0331246	0.0173935	0.00660257	0.00626663	0.00330253	0.0301975
k	0.00232296	0.000567512	0.0025691	0.0163134	0.0435067	0.0704637	0.0598786	0.09342	0.0945423	0.404024	0.0705082	0.065413	0.0292832	0.00629632	0.00706133	0.0133777	0.00619324	0.014259
y	0.000348936	0.000141295	0.000550566	0.015459	0.0134722	0.0846725	0.127702	0.0975144	0.078292	0.218007	0.177881	0.0324821	0.0818575	0.0220955	0.0125298	0.00909673	0.00808239	0.0198149
ε	0.000637589	0.000263661	0.00352828	0.0246946	0.0388149	0.106056	0.123219	0.0782056	0.0756308	0.183776	0.165662	0.0386206	0.0788387	0.0274852	0.0167897	0.00768982	0.00965765	0.0204299
l	0.0005635	0.0025698	0.0304642	0.0934569	0.0521106	0.0468883	0.0730754	0.0632374	0.079928	0.0781535	0.148235	0.133957	0.0881357	0.039611	0.0179477	0.0134507	0.00571721	0.0324987
í	0.000687014	0.000251736	0.00558122	0.0561648	0.0529945	0.049892	0.0805392	0.0804379	0.115953	0.0734623	0.172171	0.138686	0.0638143	0.0501274	0.0277808	0.0118943	0.00205534	0.0175069
í	0.000238866	0.000868884	0.00570746	0.110796	0.13869	0.0428436	0.0369051	0.0696135	0.0913839	0.0375116	0.0892336	0.210433	0.0699778	0.0695793	0.0199091	0.00267207	0.000438515	0.00319757
w	0.000886683	0.000744457	0.0022162	0.0263664	0.198407	0.0594029	0.0213666	0.0831513	0.101434	0.0792507	0.101238	0.163546	0.0880902	0.0421173	0.018415	0.00941153	0.001249	0.00270658
a	0.000524329	0.00119854	0.00396427	0.0496289	0.100476	0.0459644	0.026756	0.0314837	0.0517638	0.0307583	0.0815133	0.13617	0.0948908	0.141489	0.144754	0.0281073	0.00869321	0.0218646
n	0.000119616	0.000132161	0.000862591	0.0179272	0.0638764	0.0363733	0.0338147	0.0395214	0.0655795	0.0693698	0.138992	0.226325	0.128847	0.119388	0.042603	0.00642851	0.00207614	0.00776323
g	0.00261774	0.00286083	0.0081303	0.0084071	0.106152	0.0346571	0.0222371	0.0184772	0.0670936	0.0950377	0.0876653	0.382794	0.0971778	0.040551	0.0124282	0.00187405	0.000361972	0.0114773
á	6.52164e-05	0.000512056	0.00169127	0.00193012	0.0402984	0.00977182	0.00775249	0.00577998	0.0306509	0.087895	0.0465105	0.689476	0.0621927	0.0102476	0.00304423	0.000407684	8.61254e-05	0.00168744
n	0.000242027	0.000214794	0.00201661	0.0150043	0.035406	0.0220819	0.0215216	0.0381044	0.0497636	0.0339062	0.182168	0.0951492	0.183433	0.207796	0.0759861	0.0280421	0.0045816	0.00458339
