 	l'	enfant	égrène	le	fruit	ikamí	</S>
m	0.761604	0.207191	0.00349542	0.0110071	0.00788262	0.00868409	0.000136
w	0.0352353	0.733505	0.193634	0.0259917	0.00514592	0.000608383	0.00588017
á	0.0179837	0.968716	0.011339	0.00126913	0.000268813	0.000408486	1.51206e-05
n	0.0556159	0.94005	0.00104705	0.000764231	6.66413e-05	0.000634326	0.0018221
a	0.0837252	0.354872	0.201452	0.0399591	0.00761336	0.0500746	0.262304
l	0.596916	0.0909107	0.152381	0.0749454	0.0615797	0.00581563	0.0174511
á	0.239035	0.0351295	0.261333	0.0932921	0.0348648	0.0119125	0.324432
a	0.323535	0.144689	0.111087	0.223987	0.0725055	0.0818833	0.0423127
n	0.0301092	0.0517928	0.420468	0.36053	0.0434954	0.0097729	0.0838319
u	0.0109058	0.0282771	0.859213	0.0814551	0.0109144	0.000498205	0.00873612
u	0.00195892	0.00119466	0.073948	0.709125	0.202199	0.00119276	0.010382
g	0.00328607	0.00145953	0.0104446	0.357237	0.563429	0.0107971	0.0533463
h	0.00555866	0.000511122	0.00532174	0.125531	0.69847	0.0501529	0.114455
á	0.00963482	0.00222692	0.0248011	0.123146	0.793126	0.00974581	0.0373197
i	0.000641016	0.000481835	0.00126508	0.1162	0.61429	0.213847	0.0532755
k	0.000770208	0.000658081	0.000924965	0.0745942	0.1534	0.677731	0.0919214
a	0.00226086	0.000292468	0.00065513	0.138388	0.0960068	0.573926	0.18847
m	0.00166734	0.000621592	0.000275337	0.0454118	0.0371381	0.741162	0.173724
í	0.00175493	0.000143659	0.000713662	0.0992976	0.453062	0.212017	0.233011
</S>	0.0121575	0.000541584	0.00194862	0.0549131	0.282677	0.0610988	0.586663
