 	elle	pansa	sa	blessure	</S>
w	0.628705	0.217872	0.110809	0.0415724	0.00104141
a	0.70326	0.220977	0.0419823	0.0318982	0.00188244
a	0.345847	0.486355	0.122041	0.0207335	0.0250232
k	0.068773	0.644869	0.157207	0.0596822	0.0694691
a	0.026968	0.727645	0.025704	0.0881518	0.131532
n	0.0318752	0.361221	0.0717548	0.10879	0.426359
g	0.229941	0.169008	0.345482	0.0143343	0.241235
í	0.175045	0.119078	0.36488	0.0317419	0.309255
p	0.096507	0.0666647	0.442618	0.360855	0.0333547
ó	0.0287321	0.0744937	0.0769244	0.685874	0.133976
r	0.00467697	0.0273345	0.123775	0.728668	0.115545
á	0.0111164	0.0731126	0.151679	0.411386	0.352706
</S>	0.0111295	0.0123402	0.377097	0.098269	0.501164
