 	abandonne	cette	affaire	</S>
k	0.731676	0.237916	0.0206304	0.00977741
ú	0.909904	0.0696146	0.0145801	0.0059009
l	0.40482	0.099005	0.0278747	0.4683
á	0.30298	0.272041	0.131614	0.293364
i	0.118379	0.63566	0.136138	0.109823
b	0.084135	0.212191	0.450418	0.253256
h	0.0504986	0.029479	0.81372	0.106302
ώ	0.0976483	0.0241121	0.798443	0.0797966
ω	0.167616	0.230706	0.271846	0.329832
d	0.0292927	0.379832	0.256468	0.334408
í	0.00225715	0.0756238	0.0382004	0.883919
i	0.00316421	0.116218	0.0448032	0.835814
</S>	0.0225827	0.0830499	0.196438	0.69793
