 	le	ruisseau	vouma	a	beaucoup	de	poissons	blancs	abhélélé	</S>
w	0.666559	0.231273	0.0288775	0.0124368	0.00633693	0.0109368	0.0144363	0.0283358	0.000500992	0.000306935
ó	0.0672673	0.824686	0.0312636	0.0141138	0.00823182	0.0148452	0.00603605	0.0319675	0.000949422	0.000639512
m	0.0477015	0.695143	0.126336	0.0193876	0.0189695	0.0238089	0.0110535	0.020996	0.0195592	0.0170447
á	0.0982825	0.261097	0.535774	0.0278863	0.0100711	0.0141485	0.0156959	0.00768958	0.00874094	0.0206147
a	0.197151	0.0864097	0.352961	0.0803424	0.0413657	0.0353369	0.0331434	0.047779	0.0210039	0.104507
d	0.16092	0.038169	0.104773	0.307064	0.13864	0.0650753	0.0336703	0.0358388	0.0223221	0.0935277
í	0.0320335	0.00414021	0.0783489	0.120736	0.129732	0.0464321	0.112377	0.0125864	0.00496573	0.458648
l	0.0128468	0.00152006	0.0363525	0.100774	0.175779	0.0995006	0.156195	0.106376	0.0155641	0.295092
a	0.00621762	0.00482557	0.0394569	0.0907429	0.124535	0.0962101	0.0925658	0.0467759	0.0336378	0.465032
a	0.0227924	0.01901	0.0403571	0.0509606	0.0534773	0.0676213	0.0797394	0.120141	0.362259	0.183642
b	0.011314	0.00854483	0.00208848	0.0479067	0.0838018	0.115529	0.0544616	0.0799064	0.520932	0.0755154
h	0.0541628	0.0107084	0.00326527	0.0480334	0.0725338	0.14763	0.0800627	0.118959	0.41589	0.0487541
έ	0.0169995	0.00539317	0.00128996	0.0314087	0.13999	0.275155	0.0449613	0.110498	0.339824	0.0344807
l	0.00176378	0.00129212	0.00132757	0.00673434	0.0324317	0.18109	0.038266	0.309666	0.274886	0.152542
έ	0.00150559	0.000857848	0.000773994	0.00898212	0.0407751	0.158616	0.0470818	0.455634	0.237018	0.0487562
l	0.00501323	0.000523221	0.00309832	0.0196844	0.0466816	0.157889	0.1498	0.348931	0.124577	0.143802
έ	0.00891937	0.00185377	0.00507171	0.0251824	0.0752819	0.103669	0.226719	0.222886	0.119943	0.210473
n	0.00397992	0.00108815	0.00177857	0.0070651	0.0164565	0.0350273	0.291412	0.177088	0.301774	0.164331
d	0.00289578	0.000782943	0.000360605	0.00100102	0.00373425	0.0108127	0.0573186	0.238479	0.621273	0.0633427
é	0.00137934	0.00131328	0.00108279	0.00167212	0.00456165	0.00969331	0.0498716	0.181413	0.50737	0.241643
n	0.00019882	0.000981663	0.000996578	0.00398358	0.0194407	0.0487588	0.0708224	0.201917	0.322327	0.330573
g	0.000564429	0.00249028	0.00115658	0.00245291	0.0137548	0.0557616	0.0528211	0.271293	0.286414	0.313292
é	0.000134892	0.000581001	7.83508e-05	0.000267349	0.00134701	0.00614241	0.00208962	0.0836651	0.847015	0.0586796
é	0.00124177	0.00155874	0.00144485	0.00721548	0.0280248	0.0603752	0.061755	0.146103	0.0706042	0.621677
t	0.0205314	0.00651402	0.00555584	0.0139407	0.0406056	0.0547917	0.411033	0.138249	0.0215033	0.287275
s	0.00142208	0.00269169	0.000547979	0.0103782	0.0817264	0.164309	0.169586	0.380063	0.0429715	0.146304
ω	0.00197175	0.000584847	0.000696854	0.00515032	0.0602756	0.153675	0.19988	0.282519	0.0927526	0.202494
</S>	0.00245818	0.0014328	0.000773637	0.0062893	0.032749	0.0612071	0.0675673	0.188292	0.0514077	0.587823
