 	il	a	ficelé	un	paquet	avec	le	fil	de	fer	</S>
w	0.95262	0.00967048	0.0116305	0.00398674	0.00408743	0.00476654	0.00279808	0.00416663	0.00536318	0.000601235	0.000309563
a	0.971793	0.00844393	0.001976	0.0044577	0.000966394	0.00592221	0.00303594	0.00162777	0.00149755	0.00026818	1.15816e-05
á	0.202669	0.42322	0.327173	0.0385256	0.00123822	0.00283918	0.00168121	0.000827611	0.000902678	0.000279723	0.000643831
k	0.00500346	0.208989	0.691722	0.061854	0.0182877	0.00352416	0.00171037	0.000700778	0.0021726	0.000382097	0.00565428
a	0.00344784	0.036721	0.373387	0.23592	0.301143	0.0223092	0.00764008	0.00252982	0.00226427	0.000444307	0.0141936
n	0.000344295	0.0140199	0.499278	0.188391	0.289678	0.00468492	0.0015098	0.00078183	0.00019575	7.07484e-05	0.00104579
g	0.0146951	0.100846	0.504867	0.286909	0.0624464	0.0150392	0.00478972	0.00353293	0.00163062	0.000594262	0.00464943
i	0.0190424	0.0582239	0.262881	0.442149	0.140678	0.0335459	0.01241	0.00743573	0.00499568	0.00140211	0.0172363
i	0.0144011	0.0354118	0.0500301	0.250484	0.226026	0.246296	0.0884644	0.0529661	0.0212513	0.00388459	0.010784
b	0.000414722	0.000655801	0.0025608	0.0671141	0.481782	0.176973	0.195129	0.0580305	0.0067246	0.00807812	0.00253792
v	0.00190143	0.000739117	0.00110087	0.0346071	0.657213	0.175216	0.1028	0.0171132	0.0051731	0.00232044	0.00181616
é	0.000101047	0.000304237	0.000411576	0.0230631	0.7248	0.131959	0.0985157	0.0175537	0.00213473	0.000364716	0.000792727
é	9.34788e-05	0.000572308	0.000364514	0.0224761	0.363041	0.292626	0.184911	0.0589424	0.0241977	0.00434367	0.0484324
m	0.000135228	0.00192002	0.00127019	0.0338518	0.0865246	0.30567	0.249616	0.0979247	0.141586	0.0181553	0.0633459
ó	0.00607544	0.00238307	0.000347004	0.0243266	0.0152451	0.143445	0.218011	0.116074	0.199474	0.0958473	0.178772
l	0.00135288	0.00281793	0.00326925	0.0101976	0.0069511	0.0406298	0.10249	0.210909	0.0817992	0.516663	0.0229203
e	0.00056343	0.00208245	0.00477262	0.00943595	0.00269578	0.0187576	0.0402275	0.0571469	0.080699	0.6947	0.0889186
n	8.52676e-05	0.000515056	0.00144261	0.00368878	0.0012124	0.0085381	0.0411019	0.129481	0.0553425	0.642673	0.115919
d	3.58815e-06	2.8572e-05	0.000436108	0.00160247	0.00119368	0.00519017	0.0303082	0.0787	0.0584478	0.642075	0.182014
a	2.20942e-06	1.53529e-05	0.000345231	0.000363468	9.47832e-05	0.000718088	0.00712604	0.0451816	0.016985	0.706696	0.222473
</S>	3.89287e-05	0.000758572	0.00350536	0.00631102	0.00799172	0.0420145	0.0646764	0.0959819	0.131391	0.231945	0.415386
