 	les	chasseurs	ont	fait	une	battue	</S>
a	0.942407	0.0476387	0.00742034	0.00121448	0.00080679	0.000379334	0.000133591
b	0.0474426	0.946499	0.00397763	0.0010817	0.000800408	0.000171109	2.79989e-05
e	0.236616	0.755923	0.00566351	0.000706146	0.000337421	0.000463273	0.000290157
n	0.0572178	0.918298	0.0124843	0.00361345	0.00133829	0.000417498	0.00663086
g	0.493127	0.428424	0.0290724	0.0107539	0.00163922	0.00223485	0.0347485
i	0.332976	0.587338	0.0557594	0.0118009	0.00315961	0.00108826	0.00787813
á	0.0605869	0.0380413	0.835192	0.050884	0.00571784	0.000262401	0.00931595
m	0.0030444	0.0126777	0.365396	0.496097	0.0967203	0.00671711	0.0193469
i	0.0134212	0.00238023	0.154093	0.4648	0.333393	0.00687581	0.0250375
d	0.000280403	0.00186204	0.0569752	0.688573	0.233244	0.0118231	0.00724149
z	0.000924989	0.00285527	0.0361221	0.770098	0.161345	0.00207678	0.0265782
w	0.00344728	0.000756751	0.108816	0.7637	0.0974166	0.00163448	0.0242284
á	0.00294009	0.000117251	0.0449601	0.543449	0.221972	0.018338	0.168223
o	0.00151919	0.000383164	0.0211189	0.279931	0.419669	0.183163	0.0942162
t	0.0011454	0.00614731	0.0164566	0.300917	0.348588	0.270827	0.055919
ú	4.6346e-05	0.000658615	0.00453767	0.101483	0.200667	0.638271	0.0543368
ú	0.000116928	3.87666e-05	0.00396026	0.0879911	0.150631	0.59534	0.161922
r	0.000826809	2.12582e-05	0.00130256	0.0340746	0.141205	0.522398	0.300171
á	0.00147829	6.74486e-05	0.000579622	0.0349635	0.104405	0.653204	0.205302
</S>	0.0133365	0.000444899	0.00881164	0.0344864	0.125968	0.561832	0.25512
