 	le	forgeron	a	fabriqué	une	grosse	houe	</S>
o	0.95672	0.0403055	0.00264978	9.00399e-05	0.000191096	1.66209e-05	1.49146e-05	1.19086e-05
k	0.0542907	0.938981	0.00488881	0.000710307	0.00047065	0.000192352	0.000231851	0.000234723
u	0.00377961	0.9944	0.000193868	0.000266951	0.000120111	0.000198636	0.000611826	0.000428818
b	0.00119548	0.993521	0.000553497	0.000544462	0.000940105	0.000397381	0.000919427	0.00192909
h	0.160604	0.765081	0.016026	0.00123533	0.00515904	0.00494556	0.0276118	0.0193372
a	0.244067	0.674471	0.0407956	0.00359481	0.00615059	0.00278159	0.00134072	0.0267979
á	0.126095	0.138406	0.634826	0.0457789	0.0127006	0.0109618	0.00378992	0.0274415
t	0.017706	0.0112073	0.387461	0.407223	0.10426	0.0312285	0.0140872	0.0268263
ú	0.0058082	0.00899459	0.12039	0.528885	0.200871	0.0956734	0.0188981	0.0204799
u	0.0208549	0.168454	0.0376916	0.317955	0.20025	0.18949	0.0224568	0.0428475
m	0.0121802	0.000760464	0.222414	0.280749	0.236768	0.0955112	0.0831714	0.0684456
b	0.00335834	0.000167265	0.0840327	0.175554	0.461059	0.0278439	0.0671649	0.18082
a	0.00709182	0.000160808	0.0265329	0.305504	0.487526	0.0754983	0.0434646	0.0542216
l	0.00578382	0.000435394	0.0977411	0.244801	0.248537	0.238484	0.0608492	0.103368
é	0.001389	0.000361106	0.0120893	0.245344	0.308925	0.16432	0.117564	0.150009
</S>	0.00113474	0.00017289	0.0331405	0.0847978	0.129146	0.235785	0.389553	0.12627
