 	celui-ci	est	mon	enfant	celui-là	est	mon	neveu	</S>
w	0.598442	0.2305	0.0641513	0.0378448	0.0175862	0.0216643	0.0275561	0.00195568	0.000299653
ó	0.576186	0.144369	0.103468	0.0406732	0.0550485	0.0162698	0.0530731	0.0108597	5.23485e-05
m	0.495342	0.213022	0.0664321	0.0503246	0.0338509	0.0422787	0.0153995	0.0457412	0.0376089
w	0.00772642	0.0343028	0.00119073	0.67169	0.112076	0.00789528	0.00196623	0.148184	0.0149689
á	0.07031	0.179891	0.0183565	0.55804	0.0980333	0.011901	0.00982335	0.0351762	0.0184685
n	0.0107812	0.0416223	0.0722909	0.719865	0.0578519	0.00609645	0.00430844	0.00969104	0.077493
a	0.010965	0.0249007	0.536407	0.255565	0.0547458	0.0112308	0.0725472	0.00639528	0.0272437
y	0.0198941	0.0780124	0.591888	0.118002	0.0712457	0.0390903	0.03476	0.00269515	0.0444126
a	0.0369602	0.204566	0.363576	0.0836097	0.174634	0.0437875	0.0209019	0.00830626	0.0636581
n	0.0117817	0.0098358	0.465322	0.142695	0.254705	0.032333	0.0538783	0.0106979	0.0187515
g	0.00096314	0.00210404	0.487933	0.182986	0.121683	0.00779158	0.190888	0.000623968	0.00502699
á	0.00367253	0.00507947	0.364483	0.221129	0.129963	0.0423275	0.169469	0.0384228	0.0254535
w	0.00529299	0.0105384	0.189091	0.119049	0.275649	0.252095	0.103333	0.0147187	0.0302324
ú	0.0162255	0.0285755	0.185406	0.0733192	0.108227	0.299855	0.0710502	0.0660191	0.151322
u	0.00126071	0.00887541	0.0239927	0.00646471	0.0487489	0.742833	0.0375896	0.0322713	0.0979633
m	0.0122641	0.0138993	0.0872201	0.00918364	0.0359821	0.563147	0.0472053	0.0366376	0.194461
w	0.00051262	0.00716729	0.00604286	0.0161143	0.107151	0.199716	0.0395635	0.401946	0.221785
á	0.000375135	0.000987771	0.00264017	0.0741272	0.0829439	0.104872	0.0199838	0.694439	0.0196317
n	0.00425681	0.00622943	0.0451343	0.0505741	0.0368197	0.144958	0.277507	0.293004	0.141517
a	0.0015873	0.00498399	0.0428019	0.133598	0.185638	0.162755	0.237057	0.198028	0.0335502
b	0.000790821	0.00113107	0.0504684	0.00766817	0.0156602	0.410887	0.210388	0.0136072	0.289399
o	0.00379503	0.0181201	0.0563465	0.00664391	0.0215492	0.30692	0.126545	0.107435	0.352645
l	0.00112708	0.002689	0.0337553	0.00204225	0.00800268	0.308827	0.154486	0.0440739	0.444997
a	0.00333064	0.0062649	0.0345363	0.00374391	0.0171432	0.174506	0.214817	0.0628506	0.482807
</S>	0.000874324	0.000883353	0.00762407	0.000444581	0.00324199	0.114374	0.106545	0.126878	0.639135
