 	ils	se	sont	brouillés	</S>
b	0.935189	0.0508195	0.00356757	0.00618776	0.00423599
á	0.966133	0.0234363	0.00687329	0.00215088	0.00140614
a	0.995792	0.00333079	0.000517778	3.80797e-05	0.000321453
á	0.305671	0.526599	0.0709833	0.00186303	0.0948833
b	0.0251983	0.384887	0.523186	0.0328543	0.0338743
h	0.0660568	0.38379	0.369849	0.0292769	0.151028
í	0.0376917	0.3932	0.348053	0.0409902	0.180066
o	0.00784531	0.063122	0.164951	0.15986	0.604222
t	0.00840873	0.092761	0.274273	0.446209	0.178348
s	5.95977e-05	0.0111657	0.0569898	0.903453	0.0283316
a	0.0022161	0.0379012	0.0650792	0.857077	0.0377267
o	0.000527541	0.00699257	0.0158324	0.572962	0.403685
t	0.000642451	0.0385196	0.114575	0.146576	0.699688
s	0.0012042	0.0380755	0.120111	0.565317	0.275292
a	0.000123378	0.0132341	0.0131954	0.927447	0.0459996
</S>	0.000468366	0.00309735	0.00545241	0.0953236	0.895658
