 	le	bateau	remonte	le	fleuve	</S>
a	0.474981	0.523902	0.00033332	0.000700736	3.71968e-05	4.54046e-05
s	0.0354492	0.96096	0.00261831	0.000610352	0.000198807	0.000163391
ú	0.0040783	0.995442	0.000214422	4.22255e-05	0.000165871	5.72646e-05
a	0.156436	0.776293	0.00650426	0.00695899	0.00991397	0.0438931
m	0.07275	0.0107318	0.224736	0.267891	0.0106897	0.413201
á	0.398167	0.030436	0.182466	0.123818	0.129222	0.135891
a	0.151083	0.00204674	0.653664	0.0974626	0.0423489	0.0533945
n	0.00481239	0.00126932	0.739781	0.174872	0.0485367	0.0307278
a	0.00414626	0.00560833	0.773398	0.123832	0.047087	0.0459289
n	0.0102955	0.000747658	0.632672	0.186162	0.0496031	0.120519
a	0.0128699	0.00346677	0.862107	0.0822931	0.0250491	0.0142143
</S>	0.0115328	0.000369388	0.179003	0.584427	0.0445672	0.180101
