 	le	bateau	commence	à	descendre	vers	mossaka	</S>
a	0.728707	0.263768	0.00404777	0.00116983	0.00188824	0.000392601	7.31704e-06	1.9697e-05
s	0.246943	0.732098	0.0133825	0.00227645	0.00280612	0.000655744	0.00158856	0.000250317
ú	0.175174	0.80938	0.00704864	0.00293094	0.0021495	0.0013936	0.00109836	0.000824764
a	0.491178	0.492286	0.00243267	0.000869534	0.00124212	0.00170173	0.00155354	0.00873708
á	0.206847	0.0751143	0.359602	0.0219738	0.00829661	0.018741	0.00248195	0.306942
b	0.0183006	0.0181215	0.592611	0.238866	0.0425824	0.0460701	0.0116701	0.0317788
h	0.0115709	0.0253063	0.459164	0.376734	0.074212	0.0353292	0.00127502	0.0164086
i	0.0381477	0.0418762	0.278877	0.393435	0.203296	0.0299863	0.000504813	0.0138772
m	0.0175929	0.0493167	0.254375	0.364148	0.156973	0.0424258	0.00953868	0.10563
á	0.0252813	0.025547	0.101727	0.481068	0.161615	0.163922	0.00061122	0.0402285
a	0.022938	0.010538	0.0552677	0.33925	0.373696	0.147769	0.0045643	0.0459766
t	0.00127226	0.00122525	0.0433731	0.260118	0.552421	0.086508	0.0224924	0.0325896
u	0.000237233	0.000383945	0.0220277	0.0963431	0.820228	0.0208049	0.00665767	0.0333179
l	0.00258734	0.000782924	0.0207629	0.10004	0.633933	0.0174168	0.00430909	0.220167
ú	0.00199983	0.000833957	0.0232895	0.351379	0.565434	0.0166658	0.00103156	0.0393658
m	0.00520188	0.00373169	0.0632775	0.201446	0.267379	0.30322	0.0145342	0.14121
á	0.068494	0.0138958	0.00665154	0.0475538	0.105947	0.444008	0.00296702	0.310483
m	0.0148501	0.00236336	0.0087058	0.0452228	0.131172	0.564172	0.181769	0.0517448
á	0.014147	0.00719881	0.00143429	0.0117718	0.0255161	0.551744	0.0492613	0.338926
l	0.0118413	0.00150166	0.0204062	0.0285374	0.035954	0.604394	0.15139	0.145976
á	0.000701801	0.000795075	0.00745521	0.022949	0.0171374	0.231663	0.422661	0.296638
o	0.002771	0.000162155	0.00380517	0.0104676	0.0153879	0.146924	0.286578	0.533904
s	0.00044048	0.000131803	0.00133567	0.00339748	0.00823725	0.0158632	0.868836	0.101758
a	0.000749948	0.000592136	0.000478408	0.00664948	0.00284718	0.0178362	0.925405	0.0454413
a	0.00183994	0.000379648	0.000940677	0.00866381	0.00505214	0.0383477	0.478681	0.466095
</S>	0.00120897	0.000323913	0.015421	0.0122221	0.00387454	0.0181211	0.0807165	0.868112
