 	mes	vêtements-	ci	sont	encore	neufs	</S>
i	0.342872	0.629002	0.00747029	0.0145489	0.00471223	0.000498658	0.00089584
k	0.0325863	0.939195	0.0151826	0.0012243	0.00762642	0.00111694	0.00306848
á	0.00380621	0.958324	0.0344795	0.000446153	0.000541907	0.00162324	0.0007793
n	0.00275514	0.948822	0.0379774	0.00170871	0.00475713	0.00215551	0.00182452
d	0.359547	0.583621	0.0389794	0.00587184	0.00113506	0.000714433	0.0101312
á	0.229077	0.554912	0.123473	0.0176953	0.00362518	0.00115246	0.070065
m	0.349245	0.296575	0.195141	0.0980315	0.0180788	0.00463181	0.0382976
á	0.341226	0.0557829	0.41812	0.137991	0.024751	0.000778167	0.0213503
n	0.83457	0.0656117	0.0746063	0.0169253	0.00370457	0.0016948	0.00288703
g	0.966298	0.00884148	0.00660208	0.0105835	0.00380529	3.95322e-05	0.00383029
á	0.684629	0.0805214	0.149979	0.0551224	0.0165929	0.000370724	0.0127848
m	0.104402	0.0659651	0.331521	0.405106	0.0697708	0.00978076	0.0134552
í	0.0864953	0.00466307	0.720858	0.16658	0.0108494	0.0023904	0.00816414
í	0.157308	0.0735788	0.433453	0.196003	0.117143	0.00956184	0.012952
s	0.0293939	0.0233766	0.0626567	0.205742	0.635063	0.0075174	0.0362505
á	0.00812569	0.00137283	0.0047404	0.0741209	0.806945	0.000857571	0.103838
a	0.0632285	0.0049769	0.0283408	0.265619	0.42459	0.0495727	0.163671
p	0.0174383	0.0126202	0.0455359	0.298625	0.215278	0.334025	0.0764782
f	0.00226519	0.00438009	0.00906673	0.0158002	0.00802727	0.929433	0.0310272
ú	0.000687262	0.00513213	0.00564254	0.0135701	0.0124339	0.871575	0.0909594
ú	0.00113567	0.000662411	0.000775053	0.00591957	0.00932456	0.892545	0.0896381
</S>	0.00708805	0.00546474	0.00495293	0.0757965	0.0667325	0.301606	0.538359
