 	on	a	allumé	un	feu	de	brousse	</S>
á	0.860018	0.136537	0.000498012	0.00210101	9.04679e-05	0.000533726	0.000203982	1.73899e-05
m	0.0442584	0.454779	0.332172	0.148126	0.0162977	0.00247399	0.00157709	0.000316246
i	0.0050299	0.0180091	0.346661	0.196647	0.29214	0.0190353	0.00289777	0.119579
t	0.0017384	0.0430827	0.852049	0.0652452	0.0102035	0.00376309	0.00228957	0.0216284
u	0.00129613	0.0154113	0.913729	0.0562185	0.000779981	0.000600884	0.000789191	0.0111752
m	0.00407671	0.0302157	0.573476	0.359562	0.00352244	0.00240023	0.00303529	0.0237116
b	0.0607913	0.0200265	0.0262905	0.498474	0.193132	0.153922	0.00370719	0.0436568
á	0.0674299	0.0124251	0.0196054	0.480915	0.0922901	0.145418	0.0245086	0.157408
ω	0.0387626	0.0256483	0.00381477	0.665914	0.0824064	0.134022	0.0365202	0.0129111
l	0.00345178	0.00625963	0.043546	0.669741	0.14677	0.0401211	0.0782978	0.0118125
ω	0.000880887	0.012032	0.0317984	0.827924	0.0656559	0.00767304	0.0435923	0.0104435
n	0.000200182	0.00194625	0.0378164	0.650314	0.0852563	0.0482671	0.115108	0.0610922
g	0.00208357	0.00684029	0.0491833	0.574083	0.0839666	0.0969827	0.0848359	0.102025
ώ	0.0497137	0.0159661	0.0115935	0.16975	0.0938445	0.240692	0.131835	0.286605
</S>	0.00072543	0.000745398	0.000883509	0.0438207	0.0770625	0.634435	0.105275	0.137052
