 	elle	fait	rôtir	la	viande	sur	la	braise	</S>
w	0.933096	0.0241017	0.00831016	0.00777936	0.0105145	0.00795615	0.00643822	0.000593882	0.00120974
a	0.533641	0.154787	0.199439	0.0414114	0.0180389	0.0304238	0.0174278	0.00471762	0.000114051
l	0.0764072	0.808138	0.0748886	0.0146999	0.00358794	0.00715458	0.0124016	0.00075925	0.00196278
á	0.0497503	0.346049	0.0335196	0.186286	0.0977627	0.0825779	0.0662002	0.00679329	0.131061
a	0.210244	0.330573	0.0586965	0.0814708	0.052376	0.0651222	0.0634185	0.00494783	0.133152
b	0.0155216	0.46215	0.457677	0.0333092	0.00705193	0.0055464	0.00223199	0.00455103	0.0119605
á	0.0193953	0.434242	0.487455	0.0507096	0.00200983	0.00442662	0.000616713	0.000206499	0.00093877
b	0.0275822	0.306407	0.496201	0.115514	0.026905	0.0119767	0.00323243	0.00150271	0.0106797
h	0.0236311	0.138853	0.241249	0.289488	0.242888	0.044573	0.0111782	0.000869125	0.00726959
á	0.0277234	0.149973	0.477026	0.137659	0.0615786	0.0352555	0.00605237	0.00364254	0.101089
n	0.011119	0.0179779	0.0122372	0.233696	0.520038	0.143775	0.0477592	0.00575031	0.00764659
y	0.00109782	0.000553016	7.81823e-05	0.0152505	0.963288	0.0131844	0.00372846	4.0556e-05	0.00277917
a	3.40351e-05	0.000164629	1.47449e-05	0.0040011	0.975301	0.0119671	0.00587889	0.000828093	0.00181015
m	0.000155606	0.00638469	0.000445545	0.055577	0.695058	0.126554	0.0782055	0.00526248	0.0323574
a	0.00243011	0.00155521	0.000104427	0.110137	0.075786	0.596095	0.112377	0.0232453	0.0782692
</S>	0.000476763	0.00247463	0.000217185	0.0714153	0.0270701	0.314987	0.352835	0.0357309	0.194793
