 	j'	ai	préparé	les	champignons	ils	sont	délicieux	</S>
n	0.869744	0.112343	0.00190923	0.00873979	0.0043945	0.00241933	0.000348053	7.93306e-05	2.21296e-05
g	0.543351	0.376748	0.0214394	0.0473905	0.00865754	0.000192651	0.00188338	0.000213564	0.000123707
á	0.95652	0.0308431	0.00605952	0.00339382	0.00220586	0.000179887	0.000257382	0.000351727	0.000188922
í	0.0684042	0.350926	0.0410582	0.143257	0.0670916	0.0139239	0.0450656	0.0255165	0.244757
l	0.00105426	0.0535106	0.921514	0.00919805	0.00595368	0.00110498	0.00194587	0.00160121	0.00411689
á	0.000132303	0.015035	0.932412	0.0104469	0.00521014	0.00173451	0.00282152	0.00593136	0.0262759
m	0.00861709	0.0899922	0.767616	0.0883188	0.0338296	0.000829364	0.00707383	0.0014141	0.0023093
b	0.000510287	0.0300066	0.43118	0.224607	0.26553	0.0227486	0.0127225	0.0071541	0.00554124
i	0.00426669	0.0981874	0.123329	0.400777	0.312171	0.00809813	0.0281522	0.00865969	0.0163594
a	0.0126162	0.0815544	0.00696602	0.257061	0.110133	0.414861	0.0952023	0.00829534	0.0133101
k	0.000205138	0.00461837	0.0148159	0.204001	0.445427	0.275693	0.0308447	0.0166321	0.00776302
o	3.14657e-06	0.00043264	0.00105141	0.0844898	0.79116	0.104979	0.00263856	0.00878288	0.00646229
m	1.74702e-06	0.00290434	0.00681667	0.0962249	0.771287	0.104854	0.0040505	0.00150922	0.0123515
b	5.28564e-05	0.000572711	0.000426659	0.0912801	0.767674	0.0375363	0.0189764	0.037326	0.0461551
ó	0.000233631	0.00187876	0.000984383	0.0888349	0.421122	0.258912	0.031728	0.069551	0.126755
m	0.000100571	0.00593974	0.00404796	0.114998	0.077764	0.275156	0.344245	0.0412975	0.136451
á	0.000363119	0.00121074	4.4358e-05	0.0476411	0.0430804	0.081565	0.222518	0.335514	0.268064
a	0.000592195	0.00993138	0.00233894	0.077447	0.0920167	0.127328	0.389362	0.273263	0.0277207
á	8.17768e-05	0.00317402	0.00465323	0.0256386	0.0257048	0.0587057	0.376777	0.422301	0.0829636
d	3.81539e-05	0.00930646	0.0488674	0.0206565	0.0125231	0.0100916	0.33605	0.379	0.183467
í	2.64315e-05	0.00220828	0.012983	0.00884094	0.00139836	0.0011622	0.330605	0.108504	0.534272
l	8.1366e-05	0.0030927	0.000813212	0.0504118	0.00587389	0.0110838	0.520761	0.152125	0.255757
a	0.000152613	0.000902564	0.00224845	0.006407	0.00319581	0.00457107	0.16784	0.530428	0.284254
m	0.000201119	0.0022052	0.000907012	0.035573	0.0162781	0.0104739	0.233472	0.521	0.17989
w	0.000382336	0.00192168	0.000243346	0.0111877	0.00650771	0.00319411	0.0518053	0.842575	0.0821827
á	0.000492965	0.00046061	3.09447e-05	0.00129449	0.00274184	0.0144656	0.00991607	0.944103	0.0264944
n	0.000309813	0.000737013	1.17194e-05	0.00573976	0.00106294	0.0151454	0.0546843	0.70492	0.217389
y	0.000151667	0.00219385	0.000281171	0.0103185	0.0103459	0.00930372	0.0951506	0.623126	0.249128
á	2.29268e-05	0.000283858	0.000326006	0.00319867	0.0198934	0.000588948	0.0458697	0.483798	0.446018
á	1.62488e-05	0.000596717	0.000108321	0.00719942	0.00365935	0.00331799	0.143211	0.225081	0.61681
</S>	0.000340194	0.00730335	0.0107252	0.0526468	0.021239	0.0282509	0.306826	0.264679	0.30799
