 	alembe	ongoli	olembe	loange	abela	tsaangi	okoo	okonda	et	mboo	</S>
a	0.973305	0.0138614	0.00524769	0.00242824	0.000431369	0.000380216	9.29712e-05	0.000456553	0.00221176	0.00151179	7.32507e-05
l	0.481315	0.109129	0.37542	0.00997844	0.00214841	0.00359517	0.00149359	0.00706296	0.00284631	0.00635612	0.000655058
e	0.0222718	0.0749176	0.42715	0.215449	0.0837591	0.0380536	0.0359082	0.0168548	0.0095995	0.0382392	0.0377973
m	0.0724926	0.0891991	0.385513	0.0462543	0.10674	0.0831692	0.0300412	0.0261434	0.0138068	0.0640959	0.0825448
b	0.0302067	0.0746989	0.713753	0.0564267	0.018424	0.0312213	0.0361243	0.0202474	0.00207559	0.00582186	0.0109998
έ	0.0947014	0.576939	0.208391	0.0247829	0.0264968	0.0087859	0.0175667	0.00905534	0.00773033	0.00335336	0.0221974
o	0.0398186	0.417259	0.0559451	0.0512657	0.0458761	0.0457834	0.0752211	0.0572696	0.0557956	0.00972254	0.146044
n	0.00662734	0.147572	0.223837	0.415369	0.114772	0.0252433	0.0137552	0.0154821	0.00509159	0.0199766	0.0122734
g	0.000862938	0.0238754	0.00546887	0.906818	0.015172	0.0056413	0.0271817	0.00389507	0.00245584	0.00270038	0.00592805
o	0.000471401	0.00801734	0.0213421	0.828223	0.0861922	0.0179711	0.0200276	0.00451272	0.00158659	0.00589669	0.00575918
l	0.000914048	0.00699344	0.017091	0.488687	0.257089	0.100581	0.0563711	0.00925308	0.00612966	0.0201633	0.0367272
í	0.00100404	0.0790386	0.00821118	0.27559	0.323879	0.0809857	0.0257931	0.0277989	0.0248438	0.021495	0.131361
o	0.00522676	0.0949432	0.0162207	0.635058	0.097242	0.0467191	0.0451467	0.0190606	0.0159802	0.00536559	0.0190375
l	0.000538502	0.0126152	0.0388154	0.309955	0.38833	0.161994	0.0172335	0.03505	0.00525439	0.0241993	0.00601509
ε	0.000262079	0.012088	0.0232012	0.23649	0.421306	0.103139	0.0476512	0.0369907	0.00517237	0.0393685	0.0743307
m	9.50955e-06	0.00576306	0.00303825	0.212162	0.383836	0.100311	0.0219087	0.0286983	0.0129702	0.0253459	0.205958
b	5.49231e-05	0.00567506	0.00977272	0.0965606	0.344893	0.351048	0.0521755	0.066598	0.0305597	0.0105303	0.0321329
ε	0.00048225	0.0192267	0.00184091	0.0398804	0.418002	0.310075	0.0765222	0.0514325	0.026639	0.0075842	0.0483147
l	4.84316e-05	0.0170725	0.00105646	0.156416	0.264604	0.355231	0.106047	0.0439361	0.0262201	0.00644308	0.0229248
o	0.00158025	0.00536218	0.00126213	0.0723205	0.146908	0.326512	0.101444	0.0647478	0.0475157	0.0302617	0.202086
a	0.000200278	0.00352004	0.000456763	0.0985021	0.118573	0.402694	0.208507	0.061694	0.0368193	0.0157114	0.0533228
n	0.000424972	0.0108314	0.00115084	0.0368315	0.0633641	0.418888	0.230531	0.102247	0.0316614	0.0236739	0.080396
g	0.00022108	0.00157454	0.000314642	0.196434	0.0152489	0.080366	0.638439	0.0236878	0.0134589	0.00734313	0.0229122
e	1.00639e-05	0.000249878	0.000207495	0.11986	0.0419322	0.310034	0.46988	0.0372728	0.008317	0.00692539	0.00531185
a	2.72125e-06	0.000303802	0.00025519	0.138157	0.0790894	0.250536	0.396432	0.0523601	0.0298021	0.0234177	0.029645
b	4.65566e-05	0.00228523	0.000135049	0.0230331	0.0133782	0.226635	0.336289	0.205477	0.157916	0.0116683	0.0231365
e	0.00136102	0.00118164	0.0001577	0.00136857	0.0127927	0.194472	0.116791	0.360002	0.180839	0.0313522	0.0996819
