 	les	étrangers	qui	sont	arrivés	dans	le	village	ont	débarqué	chez	le	notable	</S>
a	0.666351	0.261798	0.0367548	0.00630658	0.00155187	0.00262421	0.00450771	0.0172742	0.00204869	3.64965e-05	0.000211203	0.000351662	0.00017782	5.35334e-06
b	0.0317607	0.949404	0.0110292	0.000568782	0.000967528	0.000770385	0.000869976	0.00198669	0.000345769	0.000229501	0.00045223	0.000262574	0.00115643	0.000196075
v	0.00694933	0.990498	0.00130953	0.000117255	0.000112872	7.57907e-05	0.000213927	5.15379e-05	8.36997e-05	1.49761e-05	0.000375961	2.93971e-05	0.000127928	3.9842e-05
ú	0.0498994	0.931998	0.00872487	0.00138317	0.00160812	0.00080128	0.00157495	6.48984e-05	0.000722259	9.95685e-05	0.00265407	0.000225205	0.000172009	7.21486e-05
r	0.244179	0.668545	0.0603682	0.00348985	0.000227364	0.00155767	0.00578438	0.00126617	0.000867318	0.000156197	0.00508962	0.000608085	0.00463221	0.00322931
u	0.52173	0.175037	0.147312	0.0179357	0.00285169	0.0199124	0.0403848	0.00335542	0.00594778	0.0049769	0.0158941	0.00270649	0.00464739	0.0373081
b	0.1472	0.0260948	0.520093	0.135675	0.00519237	0.026136	0.0282634	0.00239719	0.0253431	0.0177023	0.00666575	0.0240591	0.00125434	0.0339234
á	0.204987	0.0306721	0.175652	0.0778523	0.025685	0.0467822	0.0734454	0.000968678	0.021189	0.0128286	0.0739083	0.0318809	0.0333677	0.190781
á	0.111027	0.0130851	0.243948	0.316518	0.0880732	0.0275986	0.0306248	0.0126565	0.0367164	0.014729	0.0382044	0.0158028	0.0171939	0.0338225
y	0.00788602	0.00650456	0.0410732	0.312919	0.411978	0.110012	0.0382628	0.00957063	0.00223223	0.0198702	0.0138571	0.0022351	0.00291219	0.0206864
ε	0.00325332	0.000562682	0.0254661	0.118122	0.677854	0.0729573	0.0292173	0.00333652	0.000541039	0.0500815	0.00507609	0.00127076	0.000537582	0.0117241
í	0.0193578	0.00470978	0.0785878	0.265639	0.120059	0.142502	0.125267	0.00615061	0.00781144	0.0592801	0.0263289	0.0196521	0.0102808	0.114375
s	0.00434154	0.000521714	0.0123849	0.269724	0.350422	0.169856	0.107375	0.0487394	0.0101711	0.00479521	0.00504861	0.00470184	0.00133432	0.0105841
á	0.00260973	0.000500292	0.0177083	0.176766	0.459789	0.140017	0.162663	0.0125076	0.0027408	0.00705259	0.00299198	0.00272458	0.00160904	0.0103194
p	0.00340684	0.00108985	0.0110273	0.0794245	0.0541666	0.0490384	0.118951	0.590773	0.0617728	0.00637981	0.00746441	0.0099504	0.00412369	0.0024316
o	0.000386268	0.000429381	0.00185676	0.0110279	0.00766386	0.00896102	0.0268582	0.931128	0.00533728	0.000245351	0.000452087	0.000297053	0.00378964	0.00156768
