 	on	l'	a	grondé	car	il	a	fait	une	bêtise	</S>
á	0.510794	0.232716	0.207294	0.020002	0.00645599	0.00865698	0.00420237	0.00372064	0.00491905	0.000710279	0.000528541
n	0.0545105	0.19049	0.273548	0.309683	0.0545179	0.0186795	0.017942	0.0227775	0.0298188	0.0261982	0.0018343
g	0.0158895	0.311217	0.163816	0.407813	0.0216309	0.0132013	0.014229	0.00847458	0.00689504	0.00402646	0.0328079
a	0.00821498	0.286527	0.148785	0.480731	0.0201517	0.0121276	0.014036	0.00683937	0.0065231	0.00236018	0.013704
l	0.0163308	0.138188	0.280279	0.145726	0.133928	0.0764512	0.04214	0.0221311	0.0136932	0.0102096	0.120923
i	0.108874	0.160744	0.161844	0.0734533	0.124081	0.0865973	0.0411086	0.0403781	0.0277362	0.0331439	0.142038
w	0.0837128	0.080598	0.135208	0.0472481	0.250382	0.234064	0.0857417	0.0310118	0.0151499	0.00321097	0.0336729
a	0.0567459	0.0682892	0.193038	0.067012	0.173452	0.142413	0.10636	0.0691189	0.0309628	0.00339932	0.0892092
t	0.0205866	0.0159253	0.0854024	0.0520726	0.339575	0.328117	0.0828472	0.0218944	0.0148785	0.00225234	0.0364489
í	0.0466909	0.0369993	0.0702744	0.0857115	0.207798	0.319078	0.127585	0.045043	0.0112161	0.0129977	0.0366056
n	0.00346516	0.00311522	0.0328722	0.0738195	0.228755	0.298315	0.154116	0.0583503	0.0180675	0.012644	0.11648
a	0.0106959	0.0213201	0.0255125	0.215224	0.185944	0.192513	0.108978	0.0423346	0.0073541	0.00362673	0.186497
w	0.00180465	0.00444372	0.024074	0.0235861	0.251893	0.248852	0.261728	0.122335	0.0504012	0.0019764	0.00890724
a	0.011968	0.0121291	0.0341078	0.0708534	0.312969	0.234771	0.169994	0.0956987	0.0323382	0.00439372	0.020777
á	0.00277829	0.00243642	0.0109365	0.0143961	0.13164	0.221044	0.249882	0.201654	0.137043	0.00407998	0.0241104
k	0.00193361	0.00274861	0.00493971	0.00976832	0.0184831	0.0149661	0.103199	0.445706	0.317927	0.0470854	0.0332434
y	0.000445722	0.000535723	0.00256815	0.0855618	0.0973412	0.0381727	0.127291	0.411527	0.138353	0.0540867	0.044117
e	0.00241917	0.00117957	0.00270929	0.0722855	0.114901	0.0553045	0.12624	0.406014	0.108617	0.0634545	0.0468753
i	0.000400396	0.000594043	0.00207144	0.0464201	0.131857	0.05123	0.112057	0.295736	0.196266	0.0885971	0.0747712
b	0.00255592	0.000779163	0.000671355	0.00513183	0.0330148	0.0352598	0.0949521	0.252395	0.133923	0.128313	0.313003
h	0.00937605	0.00256108	0.000666185	0.00688071	0.0979562	0.0731436	0.130505	0.215966	0.14244	0.0858771	0.234628
ώ	0.000958341	0.000622785	0.000369997	0.00879009	0.140049	0.0656492	0.0864747	0.292719	0.181043	0.0555542	0.16777
ω	0.00011401	0.000267042	0.000413311	0.0028833	0.0748448	0.0611972	0.0720289	0.175901	0.340394	0.114887	0.15707
l	0.000583943	0.000488595	0.000596013	0.000627275	0.00839212	0.010509	0.0263505	0.0909502	0.299215	0.27685	0.285438
á	0.0027845	0.00273188	0.00141953	0.0017719	0.0157012	0.00966446	0.0406704	0.148984	0.179023	0.396864	0.200386
i	0.0069652	0.00610676	0.00570535	0.0107851	0.0681003	0.0626324	0.0587331	0.0513994	0.192982	0.134924	0.401666
b	0.00406741	0.00243181	0.00127023	0.000879155	0.00507597	0.00396586	0.00748322	0.0214408	0.0626228	0.405015	0.485748
é	0.00490329	0.0040965	0.00430915	0.00376657	0.0240035	0.0122227	0.0214444	0.0341704	0.162784	0.615107	0.113192
</S>	0.00218528	0.00150079	0.000460875	0.00219897	0.0250705	0.0126169	0.0213244	0.0535947	0.0786326	0.240922	0.561493
