 	depuis	qu'	il	est	blessé	il	boite	</S>
l	0.137101	0.557197	0.198557	0.0485559	0.00472194	0.0486274	0.00241424	0.00282546
ε	0.254694	0.435328	0.18048	0.093224	0.00282287	0.0287494	0.00276451	0.0019366
ε	0.191666	0.47831	0.193815	0.0342485	0.0137265	0.0391662	0.0139547	0.0351123
k	0.0452057	0.10309	0.312145	0.237623	0.0826813	0.101437	0.0491088	0.0687095
ώ	0.0336239	0.0292083	0.0323033	0.16479	0.523532	0.0468621	0.0300517	0.139629
s	0.116764	0.0802393	0.0210225	0.0882455	0.500858	0.0550079	0.0165656	0.121298
i	0.401697	0.165465	0.0320507	0.0835524	0.204845	0.0338494	0.0110113	0.0675294
i	0.0415135	0.186324	0.521576	0.117581	0.0262821	0.0566121	0.00379948	0.0463114
l	0.00754185	0.0159	0.149615	0.331786	0.318767	0.100209	0.0140173	0.0621641
í	0.00614433	0.0138366	0.0645913	0.326041	0.358923	0.111111	0.0198355	0.0995169
w	0.0274339	0.099428	0.454901	0.0909299	0.0831897	0.125022	0.0111268	0.107968
a	0.0174731	0.0360119	0.408646	0.29209	0.0323364	0.116985	0.00867264	0.0877845
a	0.00964527	0.034524	0.23872	0.130118	0.104257	0.352162	0.0288735	0.101699
b	0.000612909	0.00340022	0.0286393	0.319568	0.083258	0.379385	0.085677	0.0994593
h	0.00177982	0.00471764	0.0221997	0.291882	0.0340914	0.335266	0.0367405	0.273323
í	0.00179273	0.00353508	0.0235911	0.135323	0.101842	0.272224	0.0471393	0.414553
i	0.00102457	0.0034349	0.0557325	0.0797468	0.0302598	0.369593	0.0715189	0.38869
k	0.000985598	0.00143914	0.00615084	0.0142008	0.0589041	0.143669	0.514163	0.260487
o	9.87559e-05	0.000133585	0.000437173	0.00992826	0.139641	0.0188841	0.751541	0.0793358
o	1.6843e-05	7.50501e-06	1.45715e-05	0.000867342	0.168954	0.00702328	0.765677	0.0574402
e	0.000387344	0.00106261	0.00163016	0.0125967	0.00902212	0.211237	0.140114	0.62395
b	0.00215417	0.00266695	0.0102655	0.0887793	0.0644054	0.276314	0.311762	0.243653
é	0.00488717	0.0052998	0.0105632	0.0808391	0.0402871	0.241332	0.207971	0.408821
</S>	0.000274356	0.000393755	0.00258789	0.0111764	0.00891411	0.0407246	0.245935	0.689994
