 	il	est	pour	moi	un	neveu	</S>
w	0.659781	0.204277	0.0591266	0.0202913	0.0542488	0.00199775	0.000277514
a	0.550315	0.111402	0.0511996	0.0849648	0.17159	0.0303233	0.000204671
a	0.266682	0.401904	0.145814	0.038106	0.0965937	0.0133501	0.0375497
d	0.0876959	0.339143	0.198847	0.0676916	0.131724	0.0194669	0.155432
í	0.0370527	0.397047	0.218615	0.0232117	0.0348799	0.00392927	0.285265
l	0.0164939	0.123838	0.267519	0.126032	0.111845	0.00374743	0.350525
a	0.0644555	0.0873275	0.329345	0.212375	0.0570445	0.00675759	0.242695
n	0.0741234	0.189729	0.273742	0.275763	0.0722187	0.0577723	0.0566509
g	0.0104235	0.0521124	0.160583	0.689884	0.0500702	0.0125476	0.0243794
á	0.00297028	0.0131227	0.0429219	0.901891	0.015329	0.013987	0.0097781
m	0.0196582	0.044959	0.300503	0.188346	0.357705	0.0549998	0.0338292
w	0.00143057	0.00711765	0.0480418	0.030289	0.0994885	0.721274	0.0923586
á	0.000318594	0.00115484	0.00467509	0.00155602	0.0040307	0.985839	0.0024256
n	0.0106962	0.00735811	0.0269372	0.0811864	0.0343181	0.827164	0.0123399
a	0.013316	0.0204908	0.0869144	0.378232	0.0579218	0.391607	0.051518
b	0.0409264	0.0953329	0.252916	0.150905	0.360998	0.0509631	0.0479588
o	0.0761149	0.0552158	0.28821	0.217762	0.222681	0.0645017	0.075515
l	0.00281987	0.0175656	0.141721	0.0856388	0.502309	0.0353369	0.214609
a	0.0105276	0.0225235	0.0858269	0.363376	0.300706	0.05917	0.15787
</S>	0.00196927	0.00520945	0.0340696	0.0775044	0.299728	0.106965	0.474555
