 	les	feuilles	de	l'	arbuste	grimpant	ekuu	sont	utilisées	comme	remède	aux	maux	de	ventre	</S>
k	0.397236	0.31439	0.135335	0.0460902	0.058626	0.0136588	0.0151263	0.00250959	0.000885974	0.00594989	0.00355898	0.00245753	0.00226057	0.00160682	0.00016875	0.000139702
á	0.0901608	0.695043	0.0880615	0.0193672	0.0181973	0.0376223	0.00261818	0.000943307	0.00828516	0.00391236	0.00696275	0.00703662	0.0124883	0.00580713	0.00193234	0.00156131
s	0.0136236	0.427294	0.0635148	0.0685493	0.0795552	0.303814	0.00581051	0.00655053	0.00509111	0.00381337	0.00395499	0.00530199	0.00161299	0.00093193	0.00171351	0.00886855
i	0.0674907	0.458897	0.111009	0.0350774	0.0219974	0.122824	0.0035639	0.00235356	0.0245965	0.0133266	0.0225063	0.0293187	0.0145807	0.0164677	0.00634289	0.0496476
y	0.111448	0.159793	0.249831	0.097024	0.072853	0.0408423	0.218006	0.0207563	0.00462362	0.0033355	0.00341988	0.00258541	0.00321803	0.00209907	0.000754908	0.00940941
é	0.105471	0.0562369	0.100948	0.0866565	0.072491	0.145735	0.191249	0.0762816	0.0311606	0.0290372	0.021557	0.0148768	0.00397119	0.0148377	0.0114764	0.0380151
k	0.155253	0.0346602	0.14957	0.209813	0.117662	0.0896683	0.105094	0.0303138	0.0170824	0.0227447	0.0161922	0.00995579	0.00416731	0.0101071	0.00458829	0.0231282
ú	0.0186546	0.0496527	0.0288463	0.0358509	0.0872585	0.669704	0.0163085	0.00217812	0.0503033	0.00666295	0.00723829	0.00616474	0.00635334	0.00361067	0.00654246	0.00467112
ú	0.00341045	0.00873904	0.013702	0.0278602	0.0926397	0.78077	0.0476277	0.00458123	0.0162147	0.000901103	0.000969533	0.000711972	0.000370835	0.000454665	0.000188969	0.000857865
é	0.00437445	0.00127564	0.0146514	0.0830696	0.141808	0.0830287	0.405334	0.211028	0.0245802	0.0178298	0.00619349	0.00291061	0.00157625	0.00114205	0.000204287	0.000992759
d	0.00273578	0.00185657	0.00550801	0.0145304	0.0192435	0.0210275	0.124719	0.661258	0.10451	0.025081	0.0104936	0.00302824	0.00127424	0.00159593	0.000215046	0.00292373
í	0.00077125	0.000486635	0.00266856	0.0133964	0.0148999	0.0189467	0.037999	0.547053	0.12826	0.0532579	0.0486792	0.0378968	0.00966764	0.0173198	0.00287051	0.0658272
o	0.00509319	0.000471226	0.00930917	0.0274346	0.028521	0.020876	0.0834728	0.329902	0.190372	0.107603	0.0588869	0.0469895	0.0274382	0.0233581	0.00448304	0.0357885
k	0.000745996	0.000637308	0.000974467	0.00335669	0.00358488	0.00954222	0.00149818	0.0428055	0.672981	0.126834	0.068875	0.0259779	0.0165712	0.0114939	0.00625389	0.00786837
y	0.000113853	0.000632471	0.000866904	0.0014414	0.00188176	0.0113262	0.000843874	0.00685736	0.914089	0.0185946	0.0163181	0.00912093	0.00331236	0.00460114	0.00162181	0.00837807
ε	0.000367756	0.00107819	0.00102028	0.00346766	0.00770734	0.0198217	0.00255576	0.00588278	0.86811	0.030178	0.0249759	0.0141719	0.00531654	0.00580498	0.00311385	0.00642709
m	4.30822e-05	3.46118e-05	0.000472509	0.00240402	0.00823331	0.00868164	0.00246141	0.0061514	0.453075	0.136508	0.0883408	0.0953872	0.0980454	0.0360672	0.0246413	0.0394532
i	0.000333203	0.000209377	0.00175347	0.00364239	0.00553434	0.0027567	0.00136023	0.00272784	0.045035	0.302303	0.118047	0.175488	0.0726027	0.110288	0.120969	0.0369502
m	0.000701592	0.000142772	0.000995491	0.00370391	0.00402552	0.00237142	0.00269829	0.0182813	0.0402859	0.20912	0.201475	0.195022	0.151574	0.0766485	0.0276293	0.0653252
á	0.00149039	0.0010914	0.00165745	0.0025295	0.00252727	0.00101685	0.000313983	0.00237523	0.00619885	0.222542	0.135317	0.14821	0.105737	0.0935344	0.107897	0.167562
b	0.00742664	0.00198419	0.00544839	0.0101852	0.00424533	0.00157124	0.00208863	0.00603998	0.00766602	0.082213	0.151304	0.247825	0.148683	0.159152	0.13815	0.0260175
v	0.011493	0.0257793	0.0164905	0.0229703	0.010457	0.00111347	0.000933381	0.00386063	0.00697615	0.0754065	0.139635	0.195666	0.229985	0.0804767	0.146546	0.0322103
ú	0.00139104	0.000398766	0.000997166	0.00369686	0.00235179	0.000779153	9.80094e-05	0.000557199	0.00192253	0.0368205	0.104728	0.170292	0.414933	0.0591507	0.169315	0.0325691
