 	les	soldats	ont	encerclé	la	maison	du	voleur	</S>
a	0.861441	0.120784	0.00839298	0.000472618	0.00617974	0.000569402	0.00129289	0.000859497	7.17291e-06
m	0.0570359	0.932704	0.0061607	0.00258778	0.000419334	8.04532e-05	0.000749274	0.000161084	0.000101383
b	0.0325995	0.494236	0.410985	0.0364004	0.00397667	0.000548232	0.000529506	0.00645463	0.0142703
ω	0.016615	0.972021	0.00746359	0.00158718	0.00098391	0.000559002	0.000152206	0.00020705	0.00041081
r	0.0569948	0.906902	0.0296212	0.00428773	0.000630276	4.96706e-05	0.000249896	0.000147054	0.00111756
i	0.0887479	0.675514	0.0201957	0.102893	0.0140839	0.00373655	0.00261541	0.000764221	0.0914492
á	0.0566233	0.0275328	0.871772	0.0173565	0.00971276	0.00102955	0.00463999	0.000743381	0.0105899
m	0.0684251	0.00618598	0.529463	0.28365	0.0296575	0.0599709	0.00704751	0.00109736	0.014503
i	0.0619241	0.0201234	0.547392	0.269484	0.056155	0.00659993	0.00530617	0.00584982	0.0271659
d	0.00651055	0.0111854	0.147637	0.810403	0.00729953	0.0048329	0.000818414	0.00164358	0.00966982
z	0.0012775	0.00211245	0.0458471	0.911424	0.0170572	0.00205397	0.00103904	0.00375088	0.0154377
έ	0.00398248	0.000584295	0.0173273	0.950268	0.0156426	0.00584578	0.000286934	0.00164346	0.0044194
n	0.00793212	0.00577704	0.0305768	0.808836	0.0646916	0.00618015	0.00323726	0.00898939	0.0637792
g	0.0916236	0.0212405	0.03476	0.511147	0.287399	0.0176343	0.0108869	0.000450075	0.0248586
í	0.08649	0.00423928	0.0239814	0.154717	0.562445	0.0946025	0.0229463	0.00112873	0.0494498
s	0.00552536	0.00054952	0.00693409	0.0273907	0.577496	0.342262	0.0304919	0.00641619	0.00293411
έ	0.00729956	0.00247336	0.00553546	0.118024	0.654131	0.161247	0.0339612	0.00132017	0.0160088
n	0.00260275	0.00131253	0.009692	0.152239	0.378617	0.412326	0.0273951	0.00277729	0.0130382
d	0.00104318	0.000818428	0.00114267	0.0719877	0.285238	0.627517	0.00806827	2.28959e-05	0.00416169
é	0.000265153	0.000219731	0.000346821	0.0390252	0.0604031	0.889752	0.00361005	5.73058e-05	0.00632048
e	0.000862594	0.00372279	0.00559613	0.258426	0.182684	0.350924	0.138449	0.000921156	0.0584155
y	0.00284657	0.00248318	0.0124591	0.0228909	0.147649	0.0466086	0.644088	0.00723649	0.113739
á	0.0142191	0.00343813	0.00693343	0.0220693	0.270099	0.0389468	0.559217	0.0067757	0.0783022
m	0.00456079	0.0010079	0.00416724	0.0063493	0.133414	0.0551222	0.596514	0.162744	0.0361205
ú	0.00135057	0.00169686	0.00367866	0.0035411	0.0313006	0.00109993	0.193642	0.714828	0.0488626
b	0.000177669	0.00210459	0.00138013	0.0144845	0.0344109	0.0037856	0.0662669	0.845693	0.0316962
h	0.033949	0.00362578	0.00656354	0.0469215	0.132132	0.00964583	0.186202	0.144137	0.436823
u	0.0145881	0.0047648	0.00207444	0.163189	0.516829	0.0383705	0.109125	0.0382726	0.112788
</S>	0.00379404	0.0021745	0.00159468	0.00721937	0.0430633	0.00815191	0.395367	0.00628776	0.532347
