 	l'	autre	pirogue	appartient	à	ngolo	</S>
b	0.430635	0.376362	0.151589	0.0195204	0.0195471	0.00222144	0.000124888
v	0.0684689	0.149054	0.670884	0.0380165	0.0661773	0.00388733	0.00351216
á	0.0535816	0.191429	0.682649	0.0395651	0.0109142	0.0200149	0.00184655
r	0.0590287	0.313826	0.536111	0.0121174	0.00609316	0.00860504	0.0642188
e	0.314823	0.434428	0.140507	0.0377106	0.0204196	0.00550516	0.0466071
b	0.332454	0.194871	0.290596	0.101575	0.037811	0.00354659	0.0391472
v	0.309243	0.0937333	0.372582	0.0482713	0.0806063	0.0127529	0.0828114
u	0.130393	0.347623	0.286034	0.135633	0.0435545	0.00651442	0.0502486
n	0.0808217	0.325178	0.134225	0.386372	0.0585048	0.0104293	0.00446885
á	0.175056	0.310565	0.198539	0.233771	0.0305252	0.00578029	0.045764
ó	0.0800754	0.0288461	0.170271	0.332867	0.33804	0.024064	0.0258361
d	0.0310331	0.0116464	0.0203045	0.360321	0.482643	0.076512	0.0175402
i	0.0168293	0.0314714	0.0342836	0.36632	0.120118	0.00657371	0.424404
b	0.016389	0.0138262	0.0606005	0.285805	0.443813	0.0390395	0.140527
á	0.0127951	0.0180711	0.110351	0.0905515	0.496137	0.15497	0.117124
n	0.0173779	0.013244	0.0852735	0.0576957	0.244458	0.22724	0.354711
g	0.00628173	0.00626942	0.04616	0.0320796	0.258384	0.408687	0.242138
o	0.00276517	0.00266658	0.00398392	0.00954306	0.020143	0.927454	0.0334439
l	0.00105875	0.00133421	0.00712086	0.019423	0.0378965	0.559659	0.373507
ó	0.00663405	0.00748927	0.0123332	0.00913707	0.0895579	0.353623	0.521225
</S>	0.00272129	0.00109617	0.00668392	0.00803155	0.030218	0.283791	0.667458
