 	la	manière	dont	s'	embourbé	leur	véhicule	ils	ne	s'	en	sortiront	pas	aujourd'	hui	</S>
e	0.595772	0.279851	0.0771695	0.00210531	0.0038971	0.00729094	0.0110829	0.00163955	0.00162757	0.00386197	0.00196098	0.0053885	0.00378436	0.00292016	0.000513345	0.00113466
l	0.00457748	0.0102381	0.0247183	0.0194148	0.152554	0.0245322	0.60232	0.00424162	0.0210177	0.0261768	0.0337368	0.0428555	0.0223283	0.00948112	0.000173397	0.00163437
ω	0.0070867	0.10982	0.0475883	0.00933326	0.145098	0.0287915	0.523269	0.00471659	0.028614	0.0315687	0.0152654	0.0153356	0.0194179	0.00176983	0.00011844	0.0122067
b	0.00839899	0.0405526	0.0365414	0.00705273	0.0324643	0.0114732	0.770266	0.00461031	0.0202104	0.0219383	0.0174335	0.0126313	0.012987	0.00155501	2.55477e-05	0.00185951
h	0.0254039	0.102878	0.0984144	0.0237608	0.0674933	0.0676158	0.151198	0.0225937	0.0141393	0.0257507	0.0284937	0.1587	0.0510793	0.0291751	0.0262093	0.107095
í	0.0435371	0.216742	0.0669296	0.0252768	0.0337758	0.058429	0.104688	0.0853686	0.0257303	0.0618332	0.0660877	0.0551628	0.0669055	0.0288313	0.000519521	0.060183
l	0.147326	0.0162115	0.0452753	0.111706	0.065599	0.0625538	0.0536302	0.0246882	0.0347331	0.0535041	0.0653773	0.0171342	0.0592553	0.117213	0.00394733	0.121845
í	0.112611	0.0337677	0.0672721	0.131977	0.0474721	0.0362906	0.0519876	0.0207989	0.0252249	0.0485595	0.0364621	0.00936768	0.0230798	0.029551	0.00182349	0.323754
y	0.431697	0.0714689	0.0994967	0.0769397	0.0464391	0.043303	0.0374244	0.022883	0.0225426	0.0234498	0.019394	0.00565698	0.0127073	0.0272509	0.0019847	0.0573617
é	0.238343	0.0527306	0.266163	0.0436699	0.0194617	0.00540111	0.113757	0.00622174	0.0367114	0.0187671	0.0241682	0.00534589	0.0271223	0.0147006	0.00051485	0.126921
é	0.517622	0.0738164	0.239288	0.040053	0.0107587	0.0132807	0.0177599	0.00594958	0.0131154	0.00677437	0.00422729	0.0013676	0.006676	0.00303298	0.000403033	0.0458743
l	0.02091	0.0116138	0.0227723	0.0827614	0.235661	0.0509227	0.470907	0.00738242	0.024571	0.022281	0.0117201	0.0113667	0.00928399	0.00142449	0.000254738	0.0161672
ω	0.00794102	0.00298999	0.00795642	0.0807732	0.617161	0.14595	0.0696862	0.00446806	0.0141634	0.0216647	0.00716748	0.00323709	0.00484341	0.000968809	7.20811e-05	0.0109573
b	0.00734641	0.0146825	0.123829	0.242838	0.147274	0.087729	0.181888	0.0237833	0.0277065	0.0654174	0.0204574	0.00384149	0.021659	0.00320809	3.50726e-05	0.0283038
h	0.00144116	0.00345498	0.0182643	0.0440377	0.184225	0.0961204	0.517416	0.012534	0.0311175	0.0162436	0.0175208	0.0165913	0.0186784	0.0088562	0.00046126	0.0130374
í	0.0135749	0.0235744	0.074874	0.0977592	0.0949112	0.083675	0.206459	0.0739637	0.0221169	0.0372628	0.0295735	0.0514495	0.0479593	0.0308539	0.00167093	0.110322
b	0.00458887	0.00354346	0.0148071	0.268239	0.155816	0.242942	0.144043	0.0652078	0.0169745	0.0110634	0.0104221	0.0102985	0.00713652	0.0104701	0.0112492	0.023198
á	0.00038711	0.000260934	0.000120808	0.100276	0.682529	0.073559	0.0294998	0.0929394	0.00308718	0.0052638	0.00433547	0.00173129	0.0016781	0.00177963	0.000320014	0.0022323
a	0.00340286	0.00149701	0.00147695	0.283608	0.375275	0.105963	0.00779035	0.127215	0.0112966	0.00797466	0.00886388	0.00568272	0.00678047	0.01362	0.0149989	0.0245538
o	0.000791006	0.000342263	0.000804838	0.19414	0.16353	0.414898	0.0138822	0.152125	0.0211346	0.0214262	0.0087726	0.000989218	0.00152167	0.00265351	0.000840028	0.00214944
t	0.00669692	0.00240334	0.00371787	0.035848	0.0352208	0.120842	0.593286	0.0348096	0.0995128	0.0339563	0.0162284	0.0091254	0.0031714	0.000857377	0.000342599	0.00398165
ω	8.39499e-05	0.000128137	4.96614e-05	0.000239259	0.00282024	0.00188369	0.954129	0.00173364	0.0179848	0.00347185	0.00352498	0.00994655	0.0020523	0.00024068	8.08314e-05	0.00163026
m	0.000102623	0.000211969	0.00037602	0.00444599	0.0138281	0.0143211	0.846497	0.00720967	0.0251078	0.0169482	0.0141794	0.0268473	0.0161131	0.00503407	0.000175257	0.00860191
b	0.0139549	0.00139324	0.00300409	0.0128935	0.00475907	0.00557647	0.494425	0.0386443	0.151398	0.0491034	0.0912098	0.0397348	0.042436	0.0295963	0.00340364	0.0184677
í	0.00297054	0.00211975	0.0020388	0.0465173	0.0922572	0.061196	0.200822	0.206216	0.0698164	0.0528633	0.0515392	0.0396026	0.032594	0.0422943	0.00245937	0.0946938
l	0.00286519	0.000929605	0.00278639	0.0323151	0.0259033	0.128198	0.0975181	0.277232	0.15943	0.0805049	0.0508297	0.027039	0.0114158	0.0262852	0.0254484	0.0512989
i	0.00702674	0.00513933	0.00785297	0.0143904	0.041384	0.159503	0.0773045	0.0856347	0.112268	0.0620615	0.03838	0.0201012	0.0583313	0.0354573	0.00535074	0.269814
o	0.00531125	0.0014317	0.0040019	0.0197682	0.0125982	0.141601	0.00554584	0.253522	0.302139	0.118254	0.0746604	0.00788973	0.0183605	0.0204057	0.00268681	0.0118244
d	0.00122038	0.00143783	0.00142821	0.00609841	0.00774877	0.0516795	0.0543163	0.0299093	0.239204	0.211469	0.17497	0.164882	0.0278416	0.00939849	0.0100581	0.00833746
í	0.000630001	0.00131743	0.00218892	0.00267102	0.00527631	0.0647357	0.00931545	0.022281	0.345486	0.196513	0.124697	0.031996	0.0839435	0.0131719	0.0051624	0.0906151
o	0.00170262	0.00226228	0.00293801	0.00429002	0.00148455	0.0618622	0.0020434	0.0391204	0.136231	0.231368	0.191797	0.0865393	0.0925127	0.0707031	0.0120511	0.0630943
b	0.000274931	0.000391582	0.000425237	0.00278782	0.00176526	0.0120535	0.0116682	0.00969936	0.0359354	0.101716	0.201768	0.419353	0.133944	0.0339234	0.0159701	0.018325
h	0.000112775	0.000113439	5.45535e-05	0.003146	0.0235615	0.0523607	0.023244	0.0419776	0.0257949	0.111789	0.129286	0.450501	0.069768	0.0323324	0.008465	0.0274932
e	2.64426e-05	3.83803e-05	8.39867e-06	0.00016931	0.00163562	0.00198239	0.0201287	0.00607536	0.00921424	0.042017	0.100351	0.70558	0.06316	0.0225556	0.00259202	0.0244649
r	0.000132377	6.82879e-05	4.53745e-05	4.6466e-05	0.000392384	0.00275059	0.00601113	0.00544666	0.0274636	0.0430738	0.136781	0.460891	0.161174	0.0627629	0.0160791	0.0768814
