 	je	m'	appelle	thomas	</S>
k	0.512155	0.209899	0.109304	0.162874	0.00576852
ó	0.158714	0.305356	0.382825	0.125393	0.0277117
m	0.00830464	0.0244282	0.333993	0.560889	0.0723851
b	0.015856	0.018501	0.163779	0.615499	0.186365
ó	0.113264	0.103621	0.2282	0.377242	0.177674
l	0.15084	0.2203	0.331629	0.0462574	0.250973
á	0.295817	0.291212	0.166502	0.0120688	0.234401
n	0.439884	0.488892	0.0608734	0.00746872	0.00288144
g	0.618658	0.376238	0.00447425	3.16357e-05	0.000597373
á	0.394972	0.562682	0.0274479	0.00140267	0.0134959
t	0.0148764	0.0726344	0.314168	0.406108	0.192213
o	0.0101047	0.00471149	0.0396377	0.915393	0.0301531
m	0.00388635	0.0057184	0.071734	0.750021	0.16864
á	0.0297385	0.04297	0.173978	0.276601	0.476712
</S>	0.0571589	0.042392	0.123889	0.0834507	0.693109
