 	il	fut	traité	avec	bonté	</S>
á	0.408019	0.404624	0.183853	0.00329284	0.000195587	1.48701e-05
k	0.0764788	0.267519	0.513989	0.116723	0.0219723	0.00331706
y	0.0109444	0.0440463	0.252781	0.422342	0.161431	0.108455
a	0.0258745	0.0369292	0.587044	0.276789	0.0206244	0.0527386
w	0.0437828	0.0741875	0.676089	0.0979358	0.0161284	0.0918766
á	0.258016	0.124248	0.479976	0.0941669	0.00800194	0.0355915
ω	0.415	0.204498	0.288506	0.0303205	0.00871504	0.05296
b	0.00890581	0.0125694	0.0489314	0.322238	0.541946	0.06541
v	0.00247179	0.000611147	0.0121297	0.0995118	0.865917	0.0193585
έ	0.000618366	0.000405412	0.00504515	0.0364367	0.950762	0.00673275
</S>	0.00334805	0.00237941	0.0103515	0.0137424	0.0646899	0.905489
