 	l'	insecte	ekwéréé	a	tué	un	petit	silure	</S>
e	0.689662	0.288809	0.00980698	0.00424179	0.001376	0.00312168	0.00246851	0.000463423	5.0215e-05
k	0.128636	0.269167	0.0885267	0.0413644	0.44039	0.0179654	0.0063457	0.00703526	0.000569696
w	0.0287776	0.373906	0.116764	0.0459325	0.379577	0.029194	0.00400214	0.0102874	0.0115588
έ	0.031569	0.541141	0.312081	0.0342957	0.0105988	0.0266371	0.0245724	0.00399717	0.0151075
r	0.103805	0.595349	0.118869	0.0119699	0.00198334	0.0102157	0.0126518	0.000645552	0.144509
έ	0.083854	0.543926	0.241429	0.0445168	0.00124067	0.0128045	0.0576151	0.00122548	0.0133891
έ	0.0475199	0.14497	0.553644	0.175348	0.00396841	0.0203773	0.02589	0.000728983	0.0275543
é	0.017054	0.0228084	0.530813	0.323649	0.0284975	0.0260811	0.0322802	0.000925771	0.0178915
b	0.00540095	0.00881046	0.308897	0.358567	0.231939	0.0583019	0.0146116	0.000752286	0.0127194
o	0.000886198	0.00276176	0.0446672	0.178413	0.661117	0.0964795	0.00711346	0.000273798	0.00828829
m	0.000596917	0.00132791	0.0138536	0.0450675	0.848195	0.0770516	0.00395362	0.00138099	0.0085727
i	0.0122615	0.00621315	0.0278127	0.172623	0.238384	0.350111	0.12938	0.0174397	0.0457743
m	0.0142462	0.0159894	0.202776	0.168775	0.0652969	0.259713	0.188198	0.00549683	0.079509
w	0.0239657	0.00816645	0.003429	0.0981439	0.125657	0.140765	0.278694	0.00888425	0.312294
á	0.0183724	0.0138916	0.00449014	0.0550167	0.0672277	0.354006	0.178224	0.0290688	0.279703
n	0.0347551	0.0152533	0.00665087	0.0824577	0.0150884	0.272206	0.392579	0.00209926	0.178911
a	0.0727613	0.180793	0.026335	0.026998	0.00529344	0.13966	0.362349	0.0216205	0.164189
n	0.00206799	0.00311365	0.0611887	0.0413392	0.00884991	0.403842	0.409199	0.0199932	0.0504068
g	0.00800715	0.0140396	0.0139854	0.00888221	0.000800574	0.0753689	0.39606	0.116142	0.366714
ω	0.00154446	0.00189465	0.00302192	0.00290026	0.000946093	0.0288435	0.127479	0.775516	0.0578539
l	0.000229517	0.00041006	0.00173112	0.00124085	0.000694699	0.0178767	0.0298344	0.766666	0.181316
ω	0.000966602	0.00188223	0.013087	0.00893228	0.00350934	0.133025	0.209301	0.340582	0.288715
</S>	0.000528946	0.000341004	0.00286646	0.00252089	0.00143849	0.0442827	0.0629152	0.288743	0.596363
