 	ces	feuillles	sont	larges	</S>
k	0.58232	0.400322	0.0147759	0.0025062	7.60185e-05
á	0.0651044	0.91094	0.00661346	0.0161567	0.0011858
s	0.0342813	0.724223	0.0231776	0.0603099	0.158008
i	0.123742	0.774143	0.0336305	0.0140093	0.054476
y	0.258596	0.477305	0.243983	0.00287162	0.0172438
é	0.219331	0.397072	0.277124	0.0318237	0.0746485
é	0.153117	0.158427	0.471045	0.122162	0.0952497
d	0.0337929	0.0851151	0.571324	0.225179	0.0845893
í	0.00545571	0.0228371	0.194074	0.320128	0.457506
n	0.0115382	0.00662863	0.0889262	0.42192	0.470987
d	0.0093738	0.0410472	0.0885286	0.775536	0.0855141
a	0.000730129	0.00950198	0.0161646	0.870109	0.103494
á	0.00150194	0.0066978	0.0438033	0.301459	0.646538
n	0.00829847	0.0206409	0.0748927	0.468562	0.427606
d	0.00590433	0.0192658	0.0285357	0.471235	0.475059
a	0.00157059	0.0134277	0.00983634	0.645979	0.329187
á	8.72891e-05	0.00196364	0.00454951	0.17582	0.81758
</S>	0.0187932	0.033967	0.129639	0.207815	0.609785
