 	j'	ai	mal	à	la	tête	</S>
n	0.872872	0.0235762	0.04527	0.0270396	0.0236628	0.00694866	0.000630312
g	0.975635	0.0168072	0.00564797	0.00101169	0.000830366	3.54708e-05	3.226e-05
á	0.927952	0.0558371	0.0115469	0.0026701	0.00118423	0.000746099	6.40995e-05
i	0.0960851	0.390933	0.223253	0.0876131	0.0759536	0.0291762	0.0969858
d	0.0167267	0.154606	0.567077	0.121934	0.022372	0.035834	0.0814496
í	0.104237	0.685107	0.158905	0.0249894	0.00407446	0.00185975	0.020828
l	0.124207	0.218872	0.246654	0.227069	0.0717256	0.00730036	0.104172
a	0.0193304	0.115013	0.24129	0.367747	0.0905936	0.00626485	0.159762
b	0.00408216	0.0517715	0.125245	0.508724	0.188708	0.0407878	0.0806809
v	0.0830703	0.109592	0.154243	0.232935	0.0370068	0.373721	0.00943161
ú	0.00206443	0.0146716	0.189219	0.425756	0.185196	0.163172	0.0199207
a	0.00615674	0.00443064	0.0739689	0.389991	0.415888	0.0894844	0.0200799
m	0.000254631	0.00596792	0.0511396	0.172279	0.580533	0.0650131	0.124813
ó	0.000895193	0.00261364	0.0170225	0.107212	0.14409	0.198385	0.529782
i	0.00131015	0.00739831	0.0245186	0.107073	0.191626	0.569595	0.098479
b	6.48797e-05	0.000906754	0.00708059	0.0398454	0.0565803	0.75747	0.138052
o	0.000634852	0.00133655	0.00990285	0.0426511	0.0387357	0.882881	0.0238581
ó	0.000141952	0.00128093	0.0145918	0.0222079	0.028001	0.888618	0.045158
</S>	0.00119592	0.0138011	0.0475146	0.0681409	0.202881	0.0983742	0.568092
